TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PP,CDS,PH,FE-JONS,PCPE-EK,POSI,UCE,F.N.,UNA,UV,E.U.,PSE-EE/PSOE,PREPAL,AA,LV-GV,DN,PACMA/ZAAAA,MSR,UCL,PUM+J,PFYV,FA,CDL,AES,UPD,IF,PNV...(E09),SAIN,PSA,ARALAR-EA...(E09),IZAN-RG,RC,EB-B...(E09),LIBERTAS-C´S,I.I.
GIPUZKOA,003,050,LEABURU,312,146,1,145,1,144,166,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,7,0,2,0,0,94
GIPUZKOA,003,051,LEGAZPI,7167,2882,6,2876,26,2850,4285,262,0,0,1,5,3,0,0,0,0,1,768,2,0,11,7,3,0,2,2,0,0,0,0,8,1,885,1,1,227,8,1,49,1,601
GIPUZKOA,003,052,LEGORRETA,1183,611,2,609,7,602,572,37,0,0,0,0,1,0,0,0,0,0,95,0,0,0,0,1,0,0,0,1,0,0,0,1,0,189,1,2,42,0,0,7,0,225
GIPUZKOA,003,054,LIZARTZA,497,300,2,298,1,297,197,20,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,9,0,0,0,0,221
GIPUZKOA,003,057,MUTILOA,189,58,0,58,0,58,131,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,0,0,0,0,29
GIPUZKOA,003,058,OLABERRIA,780,331,1,330,3,327,449,32,0,0,0,0,0,1,0,0,1,0,97,0,0,1,0,1,0,0,0,0,0,0,0,0,0,90,0,0,32,0,0,2,1,69
GIPUZKOA,003,060,OREXA,95,68,0,68,2,66,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,60
GIPUZKOA,003,062,ORMAIZTEGI,1017,424,2,422,1,421,593,19,0,0,0,0,1,0,0,0,0,0,43,0,1,0,0,1,0,0,0,0,0,0,0,0,0,158,0,0,57,1,0,3,0,137
GIPUZKOA,003,070,SEGURA,1094,513,1,512,5,507,581,4,0,0,0,0,0,0,0,0,0,0,17,0,0,2,0,0,0,0,0,3,0,0,0,0,1,169,0,0,65,0,0,3,0,243
GIPUZKOA,003,071,TOLOSA,14393,5593,13,5580,26,5554,8800,491,5,3,0,2,8,0,1,0,0,0,896,1,1,23,0,10,0,0,15,8,0,1,1,19,2,1812,0,1,527,2,1,81,2,1641
GIPUZKOA,003,075,VILLABONA,4507,1546,3,1543,13,1530,2961,113,2,3,0,2,1,1,0,0,0,1,279,0,0,7,0,1,0,0,1,1,0,0,0,14,1,354,0,0,132,4,0,18,0,595
GIPUZKOA,003,076,ORDIZIA,7020,3108,5,3103,21,3082,3912,266,0,0,0,2,4,3,0,2,1,3,728,0,0,5,0,3,0,0,3,2,1,1,0,16,3,775,0,1,301,2,0,61,0,899
GIPUZKOA,003,077,URRETXU,5472,2376,6,2370,19,2351,3096,175,2,1,0,0,2,1,1,0,0,1,697,2,1,9,3,3,0,0,1,5,1,0,1,5,2,640,0,0,221,2,0,41,2,532
GIPUZKOA,003,078,ZALDIBIA,1183,632,2,630,3,627,551,6,0,0,0,0,0,0,0,0,0,1,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,117,0,0,73,9,0,7,0,383
GIPUZKOA,003,080,ZUMARRAGA,8159,3480,12,3468,24,3444,4679,389,0,3,1,4,3,0,2,0,0,3,1409,0,0,15,1,9,1,1,9,3,0,0,0,14,1,753,0,2,240,4,0,74,0,503
GIPUZKOA,003,904,BALIARRAIN,90,24,0,24,0,24,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,16
GIPUZKOA,003,905,ORENDAIN,150,78,0,78,0,78,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,8,0,0,1,0,43
