ELECCIÓN,TH,CODCOM,CODMUN,CIRCUNSCRIPCIÓN,PARTIDO,NOMBRE
"E09,,0,0,ESTADO,ARALAR-EA...(E09),""JUNQUERAS VIES,ORIOL"""
"E09,,0,0,ESTADO,EB-B...(E09),""MEYER PLEITE,WILLY ENRIQUE"""
"E09,,0,0,ESTADO,EB-B...(E09),""ROMEVA RUEDA,RAÜL"""
"E09,,0,0,ESTADO,PNV...(E09),""BILBAO BARANDIKA,MIREN IZASKUN"""
"E09,,0,0,ESTADO,PNV...(E09),""TREMOSA BALCELLS,RAMON"""
"E09,,0,0,ESTADO,PP,""ARIAS ECHEVERRIA,PABLO"""
"E09,,0,0,ESTADO,PP,""AYUSO GONZALEZ,MARIA DEL PILAR"""
"E09,,0,0,ESTADO,PP,""DE GRANDES PASCUAL,LUIS"""
"E09,,0,0,ESTADO,PP,""DEL CASTILLO VERA,PILAR"""
"E09,,0,0,ESTADO,PP,""DIAZ DE MERA GARCIA CONSUEGRA,AGUSTIN"""
"E09,,0,0,ESTADO,PP,""ESTARAS FERRAGUT,ROSA"""
"E09,,0,0,ESTADO,PP,""FISAS AYXELA,SANTIAGO"""
"E09,,0,0,ESTADO,PP,""FRAGA ESTEVEZ,MARIA DEL CARMEN"""
"E09,,0,0,ESTADO,PP,""GARCIA-MARGALLO MARFIL,JOSE MANUEL"""
"E09,,0,0,ESTADO,PP,""GARRIGA POLLEDO,SALVADOR"""
"E09,,0,0,ESTADO,PP,""GUTIERREZ-CORTINES CORRAL,CRISTINA"""
"E09,,0,0,ESTADO,PP,""HERRANZ GARCIA,MARIA ESTHER"""
"E09,,0,0,ESTADO,PP,""ITURGAIZ ANGULO,CARLOS JOSE"""
"E09,,0,0,ESTADO,PP,""JIMENEZ-BECERRIL BARRIO,TERESA"""
"E09,,0,0,ESTADO,PP,""LOPE FONTAGNE,VERONICA"""
"E09,,0,0,ESTADO,PP,""LOPEZ-ISTURIZ WHITE,ANTONIO JAVIER"""
"E09,,0,0,ESTADO,PP,""MATO ADROVER,GABRIEL"""
"E09,,0,0,ESTADO,PP,""MAYOR OREJA,JAIME MARIA"""
"E09,,0,0,ESTADO,PP,""MENDEZ DE VIGO MONTOJO,IÑIGO"""
"E09,,0,0,ESTADO,PP,""MILLAN MON,FRANCISCO JOSE"""
"E09,,0,0,ESTADO,PP,""SALAFRANCA SANCHEZ-NEYRA,JOSE IGNACIO"""
"E09,,0,0,ESTADO,PP,""VIDAL-QUADRAS ROCA,ALEJO"""
"E09,,0,0,ESTADO,PP,""ZALBA BIDEGAIN,PABLO"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""ALVAREZ ARZA,MAGDALENA"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""ANDRES BAREA,JOSEFA"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""AYALA SENDER,INES"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""BADIA I CUTCHET,MARIA"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""CERCAS ALONSO,ALEJANDRO"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""CORTES LASTRA,RICARDO"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""GARCIA PEREZ,IRATXE"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""GARDIAZABAL RUBIAL,EIDER"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""GUERRERO SALOM,ENRIQUE"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""JAUREGUI ATONDO,RAMON"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""LOPEZ AGUILAR,JUAN FERNANDO"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""MARTINEZ MARTINEZ,MIGUEL ANGEL"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""MASIP HIDALGO,ANTONIO"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""MENENDEZ DEL VALLE,EMILIO"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""MUÑIZ DE URQUIZA,MARIA"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""OBIOLS I GERMA,RAIMOND"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""PERELLO RODRIGUEZ,JUAN ANDRES"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""RIERA MADURELL,TERESA"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""ROMERO LOPEZ,CARMEN"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""SANCHEZ PRESEDO,ANTOLIN"""
"E09,,0,0,ESTADO,PSE-EE/PSOE,""YAÑEZ BARNUEVO,LUIS"""
"E09,,0,0,ESTADO,UPD,""SOSA WAGNER,FRANCISCO"""
