id_provincia,id_partidos,año,Votos
1,2,2024,4953
2,2,2024,17717
3,2,2024,75219
4,2,2024,32885
5,2,2024,8282
6,2,2024,25027
7,2,2024,35644
8,2,2024,109723
9,2,2024,15259
10,2,2024,15921
11,2,2024,42127
12,2,2024,26993
13,2,2024,22405
14,2,2024,30672
15,2,2024,20262
16,2,2024,10116
17,2,2024,12159
18,2,2024,39808
19,2,2024,14950
20,2,2024,5857
21,2,2024,16322
22,2,2024,9661
23,2,2024,26771
24,2,2024,19771
25,2,2024,7209
26,2,2024,10834
27,2,2024,5874
28,2,2024,297513
29,2,2024,59450
30,2,2024,82125
31,2,2024,17258
32,2,2024,5649
33,2,2024,42004
34,2,2024,7785
35,2,2024,44534
36,2,2024,16282
37,2,2024,14730
38,2,2024,36751
39,2,2024,25265
40,2,2024,7111
41,2,2024,69353
42,2,2024,3527
43,2,2024,18733
44,2,2024,6075
45,2,2024,38464
46,2,2024,123905
47,2,2024,27508
48,2,2024,12245
49,2,2024,7409
50,2,2024,44265
51,2,2024,3309
52,2,2024,2594
1,3,2024,27000
2,3,2024,172
3,3,2024,2137
4,3,2024,196
5,3,2024,102
6,3,2024,201
7,3,2024,16457
8,3,2024,256713
9,3,2024,668
10,3,2024,206
11,3,2024,543
12,3,2024,1405
13,3,2024,142
14,3,2024,179
15,3,2024,78624
16,3,2024,94
17,3,2024,34441
18,3,2024,446
19,3,2024,255
20,3,2024,96351
21,3,2024,141
22,3,2024,352
23,3,2024,123
24,3,2024,398
25,3,2024,23044
26,3,2024,453
27,3,2024,17423
28,3,2024,7481
29,3,2024,531
30,3,2024,514
31,3,2024,48779
32,3,2024,15448
33,3,2024,1658
34,3,2024,103
35,3,2024,897
36,3,2024,68515
37,3,2024,193
38,3,2024,886
39,3,2024,825
40,3,2024,150
41,3,2024,739
42,3,2024,67
43,3,2024,39936
44,3,2024,141
45,3,2024,257
46,3,2024,4916
47,3,2024,409
48,3,2024,105612
49,3,2024,93
50,3,2024,1046
51,3,2024,21
52,3,2024,18
1,4,2024,4738
2,4,2024,4912
3,4,2024,36217
4,4,2024,6035
5,4,2024,1770
6,4,2024,6277
7,4,2024,13882
8,4,2024,87128
9,4,2024,5234
10,4,2024,3970
11,4,2024,21725
12,4,2024,16661
13,4,2024,4888
14,4,2024,19726
15,4,2024,9947
16,4,2024,2121
17,4,2024,6282
18,4,2024,16353
19,4,2024,4285
20,4,2024,8466
21,4,2024,6687
22,4,2024,4079
23,4,2024,8566
24,4,2024,5314
25,4,2024,2570
26,4,2024,4008
27,4,2024,1546
28,4,2024,161734
29,4,2024,25953
30,4,2024,16984
31,4,2024,10017
32,4,2024,1479
33,4,2024,25189
34,4,2024,1892
35,4,2024,15957
36,4,2024,10187
37,4,2024,3335
38,4,2024,11209
39,4,2024,8053
40,4,2024,2316
41,4,2024,43123
42,4,2024,770
43,4,2024,6775
44,4,2024,1645
45,4,2024,7980
46,4,2024,97391
47,4,2024,8808
48,4,2024,15407
49,4,2024,1366
50,4,2024,20747
51,4,2024,312
52,4,2024,317
1,9,2024,2892
2,9,2024,8762
3,9,2024,38747
4,9,2024,15204
5,9,2024,3014
6,9,2024,9135
7,9,2024,17085
8,9,2024,51778
9,9,2024,6097
10,9,2024,5070
11,9,2024,25396
12,9,2024,11723
13,9,2024,7890
14,9,2024,16118
15,9,2024,9231
16,9,2024,3218
17,9,2024,4627
18,9,2024,20628
19,9,2024,6738
20,9,2024,3936
21,9,2024,7852
22,9,2024,4034
23,9,2024,10975
24,9,2024,7774
25,9,2024,2759
26,9,2024,4529
27,9,2024,2232
28,9,2024,141092
29,9,2024,38985
30,9,2024,34101
31,9,2024,7972
32,9,2024,2373
33,9,2024,13955
34,9,2024,2987
35,9,2024,23287
36,9,2024,8877
37,9,2024,5326
38,9,2024,19661
39,9,2024,14612
40,9,2024,2971
41,9,2024,45589
42,9,2024,1159
43,9,2024,8024
44,9,2024,2518
45,9,2024,13004
46,9,2024,63116
47,9,2024,11072
48,9,2024,8215
49,9,2024,2394
50,9,2024,19990
51,9,2024,1544
52,9,2024,1088
1,15,2024,4577
2,15,2024,3475
3,15,2024,16346
4,15,2024,3801
5,15,2024,1538
6,15,2024,5301
7,15,2024,10001
8,15,2024,93440
9,15,2024,3895
10,15,2024,3874
11,15,2024,11208
12,15,2024,6086
13,15,2024,3468
14,15,2024,7721
15,15,2024,9962
16,15,2024,1569
17,15,2024,6774
18,15,2024,10199
19,15,2024,3223
20,15,2024,8407
21,15,2024,3836
22,15,2024,2414
23,15,2024,4645
24,15,2024,4846
25,15,2024,2644
26,15,2024,2877
27,15,2024,1787
28,15,2024,124347
29,15,2024,14709
30,15,2024,12216
31,15,2024,8394
32,15,2024,1545
33,15,2024,16027
34,15,2024,1360
35,15,2024,11697
36,15,2024,8580
37,15,2024,3071
38,15,2024,11544
39,15,2024,6922
40,15,2024,1707
41,15,2024,25292
42,15,2024,733
