,id_provincia,año,Partidos,Votos
96,45,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),257
97,46,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),4916
98,47,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),409
99,48,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),105612
100,49,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),93
101,50,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),1046
102,51,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),21
103,52,2024,AHORA REPÚBLICAS (ERC-EH BILDU-BNG-ARA MÉS),18
104,1,2024,SUMAR,4738
105,2,2024,SUMAR,4912
106,3,2024,SUMAR,36217
107,4,2024,SUMAR,6035
108,5,2024,SUMAR,1770
109,6,2024,SUMAR,6277
110,7,2024,SUMAR,13882
111,8,2024,SUMAR,87128
112,9,2024,SUMAR,5234
113,10,2024,SUMAR,3970
114,11,2024,SUMAR,21725
115,12,2024,SUMAR,16661
116,13,2024,SUMAR,4888
117,14,2024,SUMAR,19726
118,15,2024,SUMAR,9947
119,16,2024,SUMAR,2121
120,17,2024,SUMAR,6282
121,18,2024,SUMAR,16353
122,19,2024,SUMAR,4285
123,20,2024,SUMAR,8466
124,21,2024,SUMAR,6687
125,22,2024,SUMAR,4079
126,23,2024,SUMAR,8566
127,24,2024,SUMAR,5314
128,25,2024,SUMAR,2570
129,26,2024,SUMAR,4008
130,27,2024,SUMAR,1546
131,28,2024,SUMAR,161734
132,29,2024,SUMAR,25953
133,30,2024,SUMAR,16984
134,31,2024,SUMAR,10017
135,32,2024,SUMAR,1479
136,33,2024,SUMAR,25189
137,34,2024,SUMAR,1892
138,35,2024,SUMAR,15957
139,36,2024,SUMAR,10187
140,37,2024,SUMAR,3335
141,38,2024,SUMAR,11209
142,39,2024,SUMAR,8053
143,40,2024,SUMAR,2316
144,41,2024,SUMAR,43123
145,42,2024,SUMAR,770
146,43,2024,SUMAR,6775
147,44,2024,SUMAR,1645
148,45,2024,SUMAR,7980
149,46,2024,SUMAR,97391
150,47,2024,SUMAR,8808
151,48,2024,SUMAR,15407
152,49,2024,SUMAR,1366
153,50,2024,SUMAR,20747
154,51,2024,SUMAR,312
155,52,2024,SUMAR,317
156,1,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",2892
157,2,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",8762
158,3,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",38747
159,4,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",15204
160,5,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",3014
161,6,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",9135
162,7,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",17085
163,8,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",51778
164,9,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",6097
165,10,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",5070
166,11,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",25396
167,12,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",11723
168,13,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",7890
169,14,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",16118
170,15,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",9231
171,16,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",3218
172,17,2024,"AGRUPACIÓN DE ELECTORES ""SE ACABÓ LA FIESTA""",4627
