ELECCIÓN,TH,CODCOM,CODMUN,CIRCUNSCRIPCIÓN,PARTIDO,NOMBRE
"E99,,0,0,ESTADO,BNG,""NOGUEIRA ROMAN,CAMILO"""
"E99,,0,0,ESTADO,C.E.,""BAUTISTA OJEDA,CARLOS"""
"E99,,0,0,ESTADO,C.E.,""SANCHEZ GARCIA,ISIDORO"""
"E99,,0,0,ESTADO,CIU,""ESTEVE ABAD,PERE"""
"E99,,0,0,ESTADO,CIU,""FERRER CASALS,CONCEPCIO"""
"E99,,0,0,ESTADO,CIU,""GASOLIBA BÉHM,CARLES ALFRED"""
"E99,,0,0,ESTADO,EB,""GONZALEZ ALVAREZ,LAURA"""
"E99,,0,0,ESTADO,EB,""JOVE PERES,SALVADOR"""
"E99,,0,0,ESTADO,EB,""MARSET CAMPOS,PEDRO"""
"E99,,0,0,ESTADO,EB,""PUERTA GUTIERREZ,ALONSO JOSE"""
"E99,,0,0,ESTADO,EH,""GOROSTIAGA ATXANDALABASO,KOLDO"""
"E99,,0,0,ESTADO,PNV-EA...(E99),""KNORR BORRAS,GORKA"""
"E99,,0,0,ESTADO,PNV-EA...(E99),""ORTUONDO LARREA,JOSU"""
"E99,,0,0,ESTADO,PP,""AGAG LONGO,ALEJANDRO"""
"E99,,0,0,ESTADO,PP,""AVILES PEREA,MARIA ANTONIA"""
"E99,,0,0,ESTADO,PP,""AYUSO GONZALEZ,MARIA DEL PILAR"""
"E99,,0,0,ESTADO,PP,""DE PALACIO DEL VALLE-LERSUNDI,ANA ISABEL"""
"E99,,0,0,ESTADO,PP,""DE PALACIO DEL VALLE-LERSUNDI,IGNACIA DE LOYOLA"""
"E99,,0,0,ESTADO,PP,""FABRA VALLES,JUAN MANUEL"""
"E99,,0,0,ESTADO,PP,""FERNANDEZ MARTIN,FERNANDO MANUEL"""
"E99,,0,0,ESTADO,PP,""FRAGA ESTEVEZ,MARIA DEL CARMEN"""
"E99,,0,0,ESTADO,PP,""GALEOTE QUECEDO,JOSE GERARDO"""
"E99,,0,0,ESTADO,PP,""GARCIA-MARGALLO MARFIL,JOSE MANUEL"""
"E99,,0,0,ESTADO,PP,""GARCIA-ORCOYEN TORMO,CRISTINA"""
"E99,,0,0,ESTADO,PP,""GARRIGA POLLEDO,SALVADOR"""
"E99,,0,0,ESTADO,PP,""GIL-ROBLES GIL-DELGADO,JOSE MARIA"""
"E99,,0,0,ESTADO,PP,""GUTIERREZ-CORTINES CORRAL,CRISTINA"""
"E99,,0,0,ESTADO,PP,""HERNANDEZ MOLLAR,JORGE SALVADOR"""
