ELECCIÓN,TH,CODCOM,CODMUN,CIRCUNSCRIPCIÓN,PARTIDO,NOMBRE
"E99,,0,0,ESTADO,PP,""MENDEZ DE VIGO MONTOJO,IÑIGO"""
"E99,,0,0,ESTADO,PP,""OJEDA SANZ,JUAN"""
"E99,,0,0,ESTADO,PP,""PEREZ ALVAREZ,MANUEL"""
"E99,,0,0,ESTADO,PP,""POMES RUIZ,JOSE JAVIER"""
"E99,,0,0,ESTADO,PP,""REDONDO JIMENEZ,ENCARNACION"""
"E99,,0,0,ESTADO,PP,""RIDRUEJO OSTROWSKA,MONICA MARIA"""
"E99,,0,0,ESTADO,PP,""RIPOLL MARTINEZ DE BEDOYA,CARLOS BARTOLOME"""
"E99,,0,0,ESTADO,PP,""SALAFRANCA SANCHEZ-NEYRA,JOSE IGNACIO"""
"E99,,0,0,ESTADO,PP,""VALDIVIELSO DE CUE,JAIME"""
"E99,,0,0,ESTADO,PP,""VARELA SUANZES-CARPEGNA,DANIEL LUIS"""
"E99,,0,0,ESTADO,PP,""VIDAL-QUADRAS ROCA,ALEJO"""
"E99,,0,0,ESTADO,PP,""ZABELL LUCAS,THERESA MARIA"""
"E99,,0,0,ESTADO,PSE-PSOE,""APARICIO SANCHEZ,PEDRO"""
"E99,,0,0,ESTADO,PSE-PSOE,""BARON CRESPO,ENRIQUE CARLOS"""
"E99,,0,0,ESTADO,PSE-PSOE,""BERENGUER FUSTER,LUIS FRANCISCO"""
"E99,,0,0,ESTADO,PSE-PSOE,""CARNERO GONZALEZ,CARLOS"""
"E99,,0,0,ESTADO,PSE-PSOE,""CERCAS ALONSO,ALEJANDRO"""
"E99,,0,0,ESTADO,PSE-PSOE,""CERDEIRA MORTERERO,MARIA DEL CARMEN"""
"E99,,0,0,ESTADO,PSE-PSOE,""COLOM NAVAL,JOAN"""
"E99,,0,0,ESTADO,PSE-PSOE,""DIEZ GONZALEZ,ROSA MARIA"""
"E99,,0,0,ESTADO,PSE-PSOE,""DUHRKOP DUHRKOP,BARBARA"""
"E99,,0,0,ESTADO,PSE-PSOE,""IZQUIERDO COLLADO,JUAN DE DIOS"""
"E99,,0,0,ESTADO,PSE-PSOE,""IZQUIERDO ROJO,MARIA"""
"E99,,0,0,ESTADO,PSE-PSOE,""MARTINEZ MARTINEZ,MIGUEL ANGEL"""
"E99,,0,0,ESTADO,PSE-PSOE,""MEDINA ORTEGA,MANUEL"""
"E99,,0,0,ESTADO,PSE-PSOE,""MENDILUCE PEREIRO,JOSE MARIA"""
"E99,,0,0,ESTADO,PSE-PSOE,""MENENDEZ DEL VALLE,EMILIO"""
"E99,,0,0,ESTADO,PSE-PSOE,""MIGUELEZ RAMOS,ROSA"""
"E99,,0,0,ESTADO,PSE-PSOE,""OBIOLS GERMAN,JOSE MARIA"""
"E99,,0,0,ESTADO,PSE-PSOE,""PEREZ ROYO,FERNANDO"""
"E99,,0,0,ESTADO,PSE-PSOE,""RODRIGUEZ RAMOS,MARIA"""
"E99,,0,0,ESTADO,PSE-PSOE,""SAUQUILLO PEREZ DEL ARCO,FRANCISCA"""
"E99,,0,0,ESTADO,PSE-PSOE,""SORNOSA MARTINEZ,MARIA"""
"E99,,0,0,ESTADO,PSE-PSOE,""TERRON CUSI,ANA"""
"E99,,0,0,ESTADO,PSE-PSOE,""VALENCIANO MARTINEZ-OROZCO,MARIA ELENA"""
"E99,,0,0,ESTADO,PSE-PSOE,""WESTENDORP CABEZA,CARLOS"""
