Provincia,Número de declaraciones,Renta bruta media,Número de municipios,Rentas  del trabajo,Rentas exentas,Renta bruta,Cotizaciones sociales a la SS,Cuota resultante de la autoliquidación,Renta disponible,Año,id_provincia
Barcelona,2603069,28890,311,59061658,3046758,75202832,2873612,12097660,60233758,2014,8
Girona,326991,24615,221,6269491,243942,8048738,333456,1126665,6588768,2014,17
Lleida,200217,22866,226,3550506,178153,4578191,185321,601834,3791116,2014,25
Tarragona,348870,24233,184,6935395,313885,8454268,343979,1170084,6940471,2014,43
Badajoz,285004,18668,165,4289179,197333,5320380,203825,592545,4524124,2014,6
Cáceres,187326,18544,223,2819752,138116,3473703,127644,393097,2953058,2014,10
"Coruña, A",545803,22966,93,10246845,429875,12534861,494370,1724128,10316763,2014,15
Lugo,163515,19297,67,2513063,122000,3155415,119393,373970,2662082,2014,27
Ourense,146992,19608,92,2329372,111661,2882218,103462,341073,2437791,2014,32
Pontevedra,415969,21637,62,7442889,299327,9000342,369948,1152613,7477959,2014,36
Madrid,3103908,32281,179,80850687,3524093,100196471,3744629,17668300,78787147,2014,28
Murcia,581017,21290,45,10139966,442996,12369695,521752,1526498,10321689,2014,30
"Rioja, La",161517,23187,173,2931144,127167,3745081,146844,497917,3100423,2014,26
Alicante/Alacant,710954,20454,141,11682083,390941,14541706,594578,1803481,12144125,2014,3
Castellón/Castelló,271357,21605,135,4780016,198825,5862784,245940,774177,4842895,2014,12
Valencia/València,1159927,23100,264,21700744,1067286,26793965,1089864,3660070,22044769,2014,46
Ceuta,27949,30026,1,703394,18298,839200,31440,69792,737972,2014,51
Melilla,27418,28712,1,638331,19218,787228,28439,62132,696663,2014,52
