Provincia,Número de declaraciones,Renta bruta media,Número de municipios,Rentas  del trabajo,Rentas exentas,Renta bruta,Cotizaciones sociales a la SS,Cuota resultante de la autoliquidación,Renta disponible,id_provincia
Total,21028886,28384,7605,470562625,21200359,596886538,22782294,86601299,487553470,
Andalucía,3642683,23510,785,68559967,3588777,85639826,3400403,10545243,71696990,
Almería,324413,21399,103,5364508,248592,6942160,277486,805141,5859690,4.0
Cádiz,495879,24497,45,10065861,534092,12147515,484276,1479154,10184236,11.0
Córdoba,351445,21879,77,6237946,279244,7689417,310722,900972,6477839,14.0
Granada,403795,23515,174,7462988,436874,9495286,359094,1166851,7969631,18.0
Huelva,239196,20972,80,4271150,192767,5016384,214973,563683,4237822,21.0
Jaén,299266,20266,97,4862900,295386,6065031,231584,633952,5199653,23.0
Málaga,696664,24712,103,13192984,724839,17216073,671936,2192832,14352482,29.0
Sevilla,832025,25321,106,17101629,876983,21067958,850333,2802658,17415638,41.0
Aragón,709124,27014,730,15514567,618104,19155971,770833,2642775,15742804,
Huesca,114378,25513,202,2281885,92455,2918147,116248,378463,2423483,22.0
Teruel,69808,23356,236,1332318,48668,1630421,67621,198072,1364782,44.0
Zaragoza,524938,27827,292,11900364,476981,14607403,586964,2066240,11954539,50.0
"Asturias, Principado de",518251,27448,78,11745018,618827,14224740,542326,1932848,11750771,
Asturias,518251,27448,78,11745018,618827,14224740,542326,1932848,11750771,33.0
"Balears, Illes",550891,29736,67,11815380,424500,16381423,613986,2446093,13321780,7.0
"Balears, Illes",550891,29736,67,11815380,424500,16381423,613986,2446093,13321780,7.0
Canarias,921343,25087,88,18144600,704173,23114132,917565,2906212,19291011,
"Palmas, Las",486470,25636,34,9775256,405672,12470922,498211,1590144,10383031,35.0
Santa Cruz de Tenerife,434873,24474,54,8369344,298501,10643210,419354,1316068,8907979,38.0
Cantabria,288367,27010,102,6343259,266305,7788696,301861,1038805,6448198,39.0
Cantabria,288367,27010,102,6343259,266305,7788696,301861,1038805,6448198,39.0
Castilla y León,1255739,25317,2247,25805745,1026631,31791982,1210439,4004794,26577636,
Avila,75233,21986,248,1342027,59267,1654101,62603,180290,1411262,
Burgos,196484,26863,371,4365033,155396,5278110,208072,689535,4380593,9.0
León,232065,24547,211,4702779,209587,5696590,221730,692459,4782735,24.0
Palencia,85284,24470,191,1694358,66997,2086911,79906,250925,1756160,34.0
Salamanca,165975,24569,362,3259531,122914,4077792,146951,509831,3421085,37.0
Segovia,77101,24558,209,1505678,60991,1893425,73437,232434,1587615,40.0
Soria,49693,24315,183,986171,32785,1208266,46402,145964,1015933,42.0
Valladolid,289921,27941,224,6507730,258193,8100745,305912,1109177,6685773,47.0
Zamora,83983,21386,248,1442438,60501,1796043,65427,194180,1536480,49.0
Castilla-La Mancha,941007,23437,917,18206744,828438,22054851,936689,2584166,18534773,
Albacete,183127,23259,87,3473078,151411,4259361,179175,503450,3577135,2.0
Ciudad Real,217194,22943,102,4078900,202483,4983065,202405,582523,4198216,13.0
Cuenca,92178,21238,239,1570459,80906,1957661,78637,203364,1675729,16.0
Guadalajara,125248,26814,285,2846285,135118,3358448,146747,429870,2781933,19.0
Toledo,323260,23190,204,6238022,258520,7496315,329727,864959,6301761,45.0
Cataluña,3726314,32423,947,94078938,4362934,120818837,4599771,19461348,96793858,
Barcelona,2789987,33958,311,73400974,3470303,94742856,3542496,15770893,75464931,8.0
Girona,353080,28905,221,7852703,298261,10205639,409711,1487613,8308567,17.0
Lleida,206831,26684,231,4334358,203837,5519045,225300,760222,4533671,25.0
Tarragona,376416,27500,184,8490903,390533,10351296,422264,1442621,8486689,43.0
Comunitat Valenciana,2329246,25543,542,47251079,2060842,59495549,2403900,8037678,49055506,
Alicante/Alacant,789491,23348,141,14596212,535840,18433368,754908,2307772,15371296,3.0
Castellón/Castelló,289546,25164,135,5918275,261685,7286093,306067,968993,6011202,12.0
Valencia/València,1250209,27016,266,26736593,1263316,33776087,1342925,4760913,27673007,46.0
Extremadura,486141,20926,388,8254480,398269,10173225,389009,1142532,8641888,
Badajoz,297295,20916,165,5037883,243068,6218361,241436,694393,5282625,6.0
Cáceres,188846,20942,223,3216596,155201,3954864,147573,448139,3359263,10.0
Galicia,1325342,25330,313,27054538,1124243,33571130,1286620,4455899,27829428,
"Coruña, A",570349,27160,93,12357672,512701,15490763,587688,2189318,12714149,15.0
Lugo,161708,22281,67,2916500,132471,3603005,137191,429980,3035917,27.0
Ourense,146293,22496,92,2681925,123556,3291079,117945,389588,2783643,32.0
Pontevedra,446992,25026,61,9098441,355515,11186283,443796,1447012,9295719,36.0
"Madrid, Comunidad de",3449219,37768,179,99869759,4339166,130269129,4494828,22709320,103069005,
Madrid,3449219,37768,179,99869759,4339166,130269129,4494828,22709320,103069005,28.0
"Murcia, Región de",648871,24380,45,12742516,617374,15819722,660655,1958111,13201244,
Murcia,648871,24380,45,12742516,617374,15819722,660655,1958111,13201244,30.0
"Rioja, La",170159,26735,174,3561775,130000,4549283,180331,606286,3762770,26.0
"Rioja, La",170159,26735,174,3561775,130000,4549283,180331,606286,3762770,26.0
Ceuta,31336,31504,1,807847,31185,987219,36146,62338,888754,51.0
Ceuta,31336,31504,1,807847,31185,987219,36146,62338,888754,51.0
Melilla,32015,30175,1,764741,38371,966065,34508,58050,873511,52.0
Melilla,32015,30175,1,764741,38371,966065,34508,58050,873511,52.0
No residentes,2838,29865,1,41671,22221,84757,2423,8802,73544,
No residentes,2838,29865,1,41671,22221,84757,2423,8802,73544,
