,id_provincia,año,Total censo electoral,Total votantes,Votos en blanco,Votos nulos
145,42,2014,72084,32706,1123,750
146,43,2014,552531,247135,5131,3454
147,44,2014,107495,49168,1702,1406
148,45,2014,511403,236352,4567,7029
149,46,2014,1901794,999210,19761,20284
150,47,2014,424271,215167,5313,4200
151,48,2014,918323,420194,7233,4414
152,49,2014,158464,73273,1980,1609
153,50,2014,717567,340579,9632,5368
154,51,2014,59646,15988,570,298
155,52,2014,52905,14199,470,272
