Unnamed: 0,Titulares,NUMERODECLARACIONES,NUMEROHABITANTES,POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL,POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO,RENTA BRUTA MEDIA,RENTA BRUTA MEDIANA,RENTA DISPONIBLEMEDIA,RENTA DISPONIBLEMEDIANA
San Martín del Tesorillo-11903,1227,1014,2742,2351,263,19409,16459,16840,15024
Algar-11003,772,641,1444,2428,292,19016,16099,16486,14793
Benalup-Casas Viejas-11901,4043,3417,7164,2430,293,19003,16190,16440,14645
Setenil de las Bodegas-11034,1485,1284,2638,2455,306,18886,16188,16603,15077
Paterna de Rivera-11025,2878,2335,5441,2492,320,18663,16348,16216,14859
San José del Valle-11902,2217,1881,4486,2548,350,18340,15718,16026,14452
Algodonales-11005,3096,2637,5498,2550,352,18325,14538,16059,13918
Grazalema-11019,1138,992,2002,2593,371,18060,15555,15659,14309
Zahara-11042,756,673,1362,2623,386,17889,15181,15741,14273
Espera-11017,2025,1721,3802,2645,396,17715,15200,15545,14112
Prado del Rey-11026,3050,2613,5634,2647,397,17699,14634,15405,13732
Bornos-11010,4028,3447,7559,2680,417,17427,14528,15352,13689
"Gastor, El-11018",1046,917,1697,2722,438,17093,14429,15226,13803
Alcalá del Valle-11002,3021,2581,4995,2784,477,16587,14538,14756,13855
Puerto Serrano-11029,3869,3470,6929,2898,556,14415,12159,13024,11556
Agrupación municipios pequeños-11,945,831,1993,-,-,18323,14773,15856,14036
Córdoba,442688,386797,773997,,,23546,18352,19621,16214
Córdoba-14021,186744,164575,323763,698,29,28513,22837,23164,19678
Villafranca de Córdoba-14067,2651,2336,4866,978,51,26446,18834,21813,16503
Añora-14006,878,769,1507,1218,75,25017,19063,20604,16548
Pozoblanco-14054,10418,9227,16946,1302,80,24628,19666,20348,17194
Peñarroya-Pueblonuevo-14052,5865,4728,10317,1412,94,24089,20232,20103,17693
Belmez-14009,1668,1310,2802,1569,112,23083,18779,19590,16750
Fernán-Núñez-14027,5705,5063,9611,1721,132,22363,18603,18817,16387
Montilla-14042,13447,11463,22298,1739,138,22278,18369,18740,16071
Obejo-14047,1026,885,2076,1742,139,22269,18929,18947,16398
Dos Torres-14023,1438,1231,2383,1761,141,22199,17049,18605,15222
Espiel-14026,1273,1077,2386,1771,143,22132,19733,18801,17019
Puente Genil-14056,15926,13526,29781,1881,157,21665,17390,18290,15611
Villanueva del Duque-14070,824,711,1406,1932,165,21458,15313,18340,14502
Cabra-14013,11420,10067,20070,1968,169,21288,17253,18023,15519
Lucena-14038,23315,19991,42813,1974,172,21253,17535,17994,15655
Rute-14058,5587,4878,9779,2054,189,20907,15309,17733,14218
"Carpio, El-14018",2406,2110,4327,2059,191,20880,17470,17795,15519
Alcaracejos-14003,772,691,1493,2172,216,20260,16440,17267,14911
"Carlota, La-14017",7795,6907,14258,2176,218,20247,15757,17281,14542
Montemayor-14041,2215,1937,3872,2182,219,20217,16106,17270,14742
Posadas-14053,3915,3475,7256,2260,234,19841,15626,16999,14407
"Victoria, La-14065",1245,1141,2312,2269,236,19817,16164,17097,14759
Palma del Río-14049,10790,9618,20688,2283,238,19757,15351,16890,14302
"Rambla, La-14057",4187,3710,7473,2290,241,19737,15549,16832,14290
Torrecampo-14062,543,473,1003,2326,253,19545,15861,16892,14541
Montoro-14043,5368,4592,9125,2374,277,19292,15852,16618,14634
Pedro Abad-14050,1506,1333,2775,2381,278,19267,16242,16639,14736
Fuente Obejuna-14029,2463,2019,4415,2395,284,19191,15517,16545,14406
Hinojosa del Duque-14035,4024,3302,6579,2409,288,19125,15933,16452,14690
Villa del Río-14066,3588,3108,6882,2453,304,18897,15154,16237,14047
Castro del Río-14019,4491,3830,7665,2478,315,18771,14766,16201,13807
Guadalcázar-14033,902,811,1533,2493,321,18660,14882,16104,14121
Priego de Córdoba-14055,13243,11377,22003,2500,327,18641,14697,16110,13836
"Viso, El-14074",1484,1309,2507,2512,330,18544,15619,16120,14428
Aguilar de la Frontera-14002,7426,6371,13282,2513,331,18538,14979,16023,14024
Montalbán de Córdoba-14040,2695,2378,4465,2516,333,18519,14812,15972,13846
Belalcázar-14008,1710,1400,3138,2525,335,18459,14355,15961,13549
Baena-14007,10313,8984,18533,2528,337,18447,14925,15916,13990
Villaralto-14072,671,592,1088,2536,344,18412,14412,16023,13826
Pedroche-14051,851,769,1485,2562,358,18280,15147,15929,14173
Almodóvar del Río-14005,3697,3283,7995,2597,374,18041,15244,15682,14206
Hornachuelos-14036,2338,2095,4415,2616,382,17934,14905,15579,13837
Doña Mencía-14022,2785,2439,4511,2625,387,17862,15153,15629,14352
Villanueva de Córdoba-14069,4953,4307,8460,2629,390,17825,14388,15422,13530
Cardeña-14016,789,686,1437,2658,404,17619,14441,15361,13699
Santaella-14060,2646,2375,4640,2668,410,17515,14243,15355,13565
Bujalance-14012,4216,3725,7186,2674,415,17458,14019,15176,13366
Carcabuey-14015,1548,1351,2318,2682,418,17415,13655,15182,13113
Palenciana-14048,781,697,1441,2705,428,17200,14099,15087,13320
Cañete de las Torres-14014,1742,1574,2829,2729,442,17032,13622,14906,13103
Fuente Palmera-14030,5707,5159,9850,2739,447,16965,14282,14913,13491
Moriles-14045,2068,1773,3658,2742,449,16945,14402,14963,13688
Villaviciosa de Córdoba-14073,1800,1463,3085,2745,452,16913,14200,14974,13456
Luque-14039,1835,1613,2860,2752,457,16847,13566,14893,13135
Espejo-14025,2057,1829,3209,2754,458,16811,13657,14790,13198
Encinas Reales-14024,1332,1151,2252,2777,471,16641,14180,14677,13474
Benamejí-14010,2804,2422,4979,2792,483,16515,13743,14567,13196
Monturque-14044,1149,1019,1929,2805,492,16335,14930,14424,13852
Almedinilla-14004,1430,1235,2340,2813,495,16241,12809,14447,12486
Adamuz-14001,2449,2191,4092,2842,516,15906,12966,14089,12481
"Guijarrosa,La-14902",840,738,1336,2853,525,15784,13479,14039,13070
Valenzuela-14063,697,614,1045,2869,535,15406,12019,13791,11770
Iznájar-14037,2305,2009,3804,2880,543,15089,12302,13539,11968
Nueva Carteya-14046,3295,2883,5317,2883,545,14988,12396,13408,11939
Fuentecarreteros-14901,617,557,1089,2897,555,14453,12877,13121,12300
Agrupación municipios pequeños-14,4020,3535,6959,-,-,18047,14187,15811,13614
Granada,516191,453968,930181,,,25024,19763,20767,17356
Villa de Otura-18149,4279,3712,7466,313,11,32194,23885,25966,20461
Granada-18087,142311,128657,230595,341,14,31757,25714,25547,21825
Cájar-18036,3079,2749,5447,394,18,31213,25016,25086,21350
Huétor Vega-18101,7050,6206,12159,536,22,29681,23866,23996,20377
Ogíjares-18145,8676,7634,14803,551,23,29604,24164,24014,20562
Gójar-18084,3567,3109,6203,702,30,28475,22970,23189,19655
Albolote-18003,10770,9375,19474,707,31,28430,22412,23154,19225
Monachil-18134,4713,4221,8349,745,33,28191,21974,23104,18823
Dílar-18068,1146,1004,2264,746,34,28185,22969,23150,19924
Jun-18111,2245,1960,4061,851,40,27417,23086,22413,19714
Armilla-18021,13253,11694,25059,901,43,27052,22403,22119,19233
