Unnamed: 0,Titulares,NUMERODECLARACIONES,NUMEROHABITANTES,POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL,POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO,RENTA BRUTA MEDIA,RENTA BRUTA MEDIANA,RENTA DISPONIBLEMEDIA,RENTA DISPONIBLEMEDIANA
"Franco, El-33023",2140,1863,3749,1025,29,26155,22309,21692,18981
Ribera de Arriba-33057,973,826,1857,1031,30,26118,23950,21613,20350
Nava-33040,3178,2709,5186,1127,31,25545,22650,21344,19517
Cangas del Narcea-33011,7058,6017,11596,1150,32,25447,23619,21207,20112
Bimenes-33006,895,732,1669,1152,33,25430,24073,21407,20460
Grado-33026,5322,4582,9616,1153,34,25429,22901,21321,19762
Cudillero-33021,2608,2253,4909,1174,35,25251,21498,21138,18697
Teverga-33072,601,521,1565,1193,36,25144,22629,21453,19601
Pravia-33051,4643,3974,7830,1195,37,25129,22692,21009,19314
Ibias-33028,472,401,1121,1197,38,25102,23954,21182,20358
Ribadesella-33056,3223,2840,5548,1245,39,24883,20109,20683,17611
Llanes-33036,7418,6730,13524,1285,40,24701,19842,20482,17375
Castropol-33017,1823,1608,3289,1286,41,24701,20608,20408,17864
Salas-33059,2521,2183,4806,1291,42,24688,20508,20793,18088
Colunga-33019,1679,1471,3187,1400,43,24137,20000,20311,17445
Parres-33045,2924,2631,5208,1430,44,23979,19881,20093,17451
Valdés-33034,6213,5420,10958,1468,45,23713,19739,19954,17516
Tineo-33073,4876,4197,8857,1595,46,22971,20104,19408,17695
Quirós-33053,438,391,1175,1596,47,22969,19618,19539,17673
Vegadeo-33074,2144,1905,3885,1633,48,22800,19536,19143,16958
Cangas de Onís-33012,3598,3264,6362,1658,49,22694,18085,19195,16224
Piloña-33049,3685,3228,6822,1703,50,22443,19066,19065,17074
Cabranes-33009,460,409,1105,1752,51,22236,17874,19128,16345
Belmonte de Miranda-33005,619,556,1399,1786,52,22070,19755,18878,17713
Boal-33007,730,643,1412,1846,53,21812,17707,18542,15997
Ribadedeva-33055,940,835,1731,1848,54,21805,17469,18487,15749
Peñamellera Baja-33047,629,555,1221,2001,55,21145,17457,18006,15777
Caso-33015,494,446,1449,2122,56,20564,16481,17714,15113
Allande-33001,859,763,1552,2243,57,19928,17155,17277,15414
Cabrales-33008,983,889,1918,2271,58,19810,16548,17060,15177
Villayón-33077,585,507,1104,2410,59,19115,15329,16747,14652
Somiedo-33068,380,357,1083,2610,60,17973,14564,15339,13948
Agrupación municipios pequeños-33,4092,3639,8954,-,-,21401,17082,18248,15617
"Balears, Illes",637758,596804,1197261,,,33006,23563,26392,19902
"Balears, Illes",637758,596804,1197261,,,33006,23563,26392,19902
Valldemossa-07063,1130,1075,2037,2,1,67527,28470,56345,23559
Esporles-07020,3002,2833,5236,23,2,49560,29731,39859,24478
Puigpunyent-07045,1161,1081,2055,64,3,41035,30784,32148,25388
Bunyola-07010,4177,3870,7286,76,4,38822,29956,30500,24817
Calvià-07011,26848,25256,53162,89,5,38218,23267,30175,19605
Alaró-07001,3042,2805,5909,106,6,37482,26583,29433,22096
Santa Eugènia-07053,1017,943,1843,122,7,36943,27726,29208,23047
Sant Joan de Labritja-07050,2623,2466,6838,128,8,36445,23667,29018,19782
Marratxí-07036,22599,21006,39440,135,9,36170,28044,28614,23279
Sant Lluís-07052,3578,3359,7019,148,10,35758,24988,28450,20856
Sant Josep de sa Talaia-07048,14042,13311,29506,149,11,35732,24654,28384,20510
Santa Eulalia del Río-07054,18429,17420,41228,160,12,35346,23767,28054,19949
Formentera-07024,4777,4508,11171,181,13,34602,22550,27552,19066
Eivissa-07026,27804,26480,51996,186,14,34513,24490,27429,20422
Santa María del Camí-07056,4233,3934,7552,193,15,34399,26995,27372,22298
Pollença-07042,9113,8545,17279,197,16,34305,22924,27555,19347
Llucmajor-07031,21312,20004,39040,202,17,34209,24263,27251,20370
Palma de Mallorca-07040,235474,220461,423350,224,18,33871,24368,26881,20522
Montuïri-07038,1649,1499,3144,236,19,33561,26110,26795,21754
Sóller-07061,7075,6683,13610,246,20,33392,23819,26837,20145
Andratx-07005,6462,6104,11833,253,21,33250,22419,26671,18897
Binissalem-07008,4730,4379,9172,268,22,32961,25143,26478,21103
Selva-07058,2349,2179,4289,278,23,32744,26295,26195,21700
Sencelles-07047,1896,1752,3795,279,24,32740,25828,26168,21486
Santanyí-07057,6661,6272,12480,288,25,32606,21493,26371,18245
Mancor de la Vall-07034,901,848,1639,297,26,32436,26678,25890,22383
Alcúdia-07003,11212,10703,21322,310,27,32219,21426,26375,18163
Algaida-07004,3297,3052,6170,395,28,31200,25520,25069,21230
Petra-07041,1616,1469,3118,400,29,31151,23053,24684,19725
Maó-Mahón-07032,16006,14910,29902,407,30,31086,23924,25097,20243
"Salines, Ses-07059",2773,2605,5044,408,31,31077,22122,25177,18637
Porreres-07043,3050,2777,5741,412,32,31000,23025,25123,19473
Campanet-07012,1539,1434,2790,416,33,30963,25026,24872,20816
Lloret de Vistalegre-07028,720,652,1589,427,34,30796,24469,24904,20319
Costitx-07017,705,650,1490,431,35,30782,25175,24903,21249
Sant Antoni de Portmany-07046,13520,12666,28237,435,36,30726,22588,24933,19081
Sant Joan-07049,1216,1113,2195,443,37,30630,23002,24809,19719
Consell-07016,2398,2204,4304,453,38,30534,24950,24648,21067
Sineu-07060,2249,2082,4369,459,39,30387,23420,24581,19587
Llubí-07030,1324,1224,2438,470,40,30307,23465,24325,19613
Campos-07013,6527,6083,11763,498,41,30102,22462,24303,19043
"Castell, Es-07064",4268,3975,7670,511,42,29907,23546,24423,19947
Búger-07009,592,553,1148,524,43,29828,24213,24147,20226
"Mercadal, Es-07037",2473,2315,5939,548,44,29627,22524,24013,18928
Manacor-07033,23862,22032,46395,570,45,29403,21310,23564,18218
Artà-07006,4442,4204,8208,596,46,29226,21940,23741,18491
Santa Margalida-07055,6960,6529,13160,617,47,29069,21642,23627,18374
Felanitx-07022,10259,9340,18592,662,48,28749,21513,23507,18454
Alaior-07002,5342,4928,9748,676,49,28667,22681,23351,19289
Ciutadella de Menorca-07015,15983,15001,31443,700,50,28486,21503,23248,18407
Maria de la Salut-07035,1181,1092,2336,738,51,28264,23357,23063,19610
Muro-07039,4190,3864,7825,759,52,28134,21508,22960,18390
Vilafranca de Bonany-07065,1818,1654,3699,809,53,27730,22497,22676,19063
Sant Llorenç des Cardassar-07051,4940,4654,9227,828,54,27585,21004,22546,17888
Son Servera-07062,6706,6428,11932,845,55,27470,20866,22584,17677
"Migjorn Gran, Es-07902",794,734,1563,848,56,27451,21953,22315,18555
Lloseta-07029,3347,3071,6378,852,57,27416,22613,22490,19200
Inca-07027,17798,16333,34577,858,58,27388,22027,22405,18766
Ferreries-07023,2676,2533,5051,871,59,27267,22259,22265,18741
"Pobla, Sa-07044",7579,6958,14164,902,60,27051,21625,22277,18491
Capdepera-07014,6754,6446,12340,1015,61,26204,20337,21659,17310
Agrupación municipios pequeños-07,1558,1463,3485,-,-,32846,23910,26370,20158
Canarias,1132821,1040463,2202048,,,26500,20154,22062,17827
"Palmas, Las",592056,544461,1140258,,,27060,20560,22398,18080
Santa Brígida-35021,9707,8890,18510,67,1,40713,27987,31899,23644
Teguise-35024,12217,11406,23881,404,3,31100,22894,25185,19946
"Palmas de Gran Canaria, Las-35016",209234,191645,378027,460,4,30383,22483,24706,19636
Tías-35028,9751,8995,21433,750,9,28159,19535,23258,17399
San Bartolomé-35018,10125,9521,19200,928,14,26821,21215,22289,18520
Agaete-35001,2765,2544,5568,970,16,26499,20999,22202,18339
Arucas-35006,21161,18987,38601,977,17,26454,21960,21982,19155
Puerto del Rosario-35017,22827,21505,43390,981,18,26435,20645,21893,18160
Haría-35010,2555,2365,5507,1047,21,26014,21464,21793,18682
San Bartolomé de Tirajana-35019,26464,24436,53912,1049,22,26010,19588,21738,17288
Telde-35026,54661,50051,102487,1134,25,25523,20293,21309,17865
Valsequillo de Gran Canaria-35031,4866,4451,9667,1164,26,25322,19631,21180,17383
Tinajo-35029,3362,3138,6759,1219,28,25006,20075,21001,17626
Firgas-35008,4122,3623,7669,1231,29,24942,21117,21028,18561
Yaiza-35034,8147,7630,17415,1263,31,24801,19793,20920,17412
Antigua-35003,5236,4811,13523,1282,32,24711,19159,20572,17104
Teror-35027,6480,5797,12799,1295,33,24651,20345,20716,17935
Agüimes-35002,16891,15645,32643,1305,34,24617,20002,20720,17590
Vega de San Mateo-35033,3677,3282,7782,1337,36,24450,19833,20546,17515
"Oliva, La-35014",11859,11132,29099,1350,37,24392,18910,20568,16773
Gáldar-35009,12781,11618,24678,1390,39,24181,19920,20429,17620
Santa María de Guía de Gran Canaria-35023,7143,6510,13948,1413,42,24083,19861,20302,17516
Moya-35013,3985,3501,7889,1422,43,24045,19564,20396,17375
Arrecife-35004,32551,30251,64826,1432,46,23960,19193,20219,16981
Tuineje-35030,7740,7362,15967,1433,47,23953,20161,20308,17566
Mogán-35012,9513,8812,20845,1560,52,23152,18321,19657,16202
Ingenio-35011,17042,15551,32354,1591,53,22989,19682,19608,17330
Valleseco-35032,1602,1426,3733,1665,57,22647,17612,19358,15848
Pájara-35015,10174,9609,21271,1689,59,22495,19947,19209,17417
Santa Lucía de Tirajana-35022,38738,35631,75677,1812,63,21941,18735,18798,16557
Artenara-35005,325,299,1032,1860,64,21743,18760,18436,16715
Tejeda-35025,534,479,1844,1942,68,21417,18913,18641,16804
"Aldea de San Nicolás, La-35020",3524,3286,7506,2308,82,19646,15743,17003,14565
Agrupación municipios pequeños-35,297,272,816,-,-,24934,19985,21237,17841
Santa Cruz de Tenerife,540765,496002,1061790,,,25885,19645,21693,17505
"Rosario, El-38032",9628,8932,17866,168,2,35118,26320,27856,22457
Santa Cruz de Tenerife-38038,116426,107419,209395,515,5,29864,22756,24374,19872
Tegueste-38046,6483,5936,11344,613,6,29108,23288,23799,20323
Candelaria-38011,15674,14458,28694,655,7,28810,23447,23712,20423
"Sauzal, El-38041",4766,4250,9145,672,8,28699,21500,23486,18904
Tacoronte-38043,13088,11782,24652,751,10,28158,21419,23156,18885
Breña Baja-38009,3311,3064,5963,753,11,28155,20794,25456,19316
Puerto de la Cruz-38028,14905,13493,30849,864,12,27332,19353,22694,17333
San Cristóbal de La Laguna-38023,84577,77745,159034,893,13,27117,21699,22382,19031
San Sebastián de la Gomera-38036,4995,4667,9501,949,15,26656,20591,22120,18218
Valverde-38048,2419,2242,5165,998,19,26339,21950,21931,19204
Santa Cruz de la Palma-38037,8704,8064,15441,1017,20,26199,19673,23827,18290
Breña Alta-38008,4114,3773,7305,1109,23,25642,18996,23288,17705
Santa Úrsula-38039,8138,7210,15285,1126,24,25548,18521,21243,16668
Arafo-38004,2967,2663,5712,1189,27,25164,20945,21027,18446
Adeje-38001,21888,20392,50167,1247,30,24855,18631,20783,16593
Fasnia-38012,1172,1083,2984,1321,35,24536,19246,20711,17199
Güímar-38020,10781,9936,21536,1371,38,24279,20373,20413,17969
"Paso, El-38027",4116,3765,7967,1392,40,24165,17485,22099,16346
"Matanza de Acentejo, La-38025",4675,4145,9092,1398,41,24143,19042,20295,16903
"Orotava, La-38026",22172,19652,42454,1424,44,24029,18408,20273,16465
Villa de Mazo-38053,2532,2331,4950,1431,45,23977,18687,21852,17269
"Llanos de Aridane, Los-38024",11402,10464,20189,1467,48,23715,17062,21782,16000
Santiago del Teide-38040,4768,4392,11972,1551,49,23180,18091,19667,16109
San Miguel de Abona-38035,9872,9212,22606,1555,50,23170,18683,19636,16573
Puntallana-38030,1289,1208,2605,1558,51,23163,17854,21220,16835
"Pinar de El Hierro, El-38901",795,724,2016,1641,54,22758,18778,19381,16898
Granadilla de Abona-38017,25427,23849,54942,1651,55,22727,18272,19293,16312
Arico-38005,4158,3877,9020,1654,56,22723,18475,19291,16389
Alajeró-38003,831,782,2056,1674,58,22583,19653,19273,17252
Frontera-38013,1835,1669,4465,1714,60,22409,17129,19037,15722
"Realejos, Los-38031",20003,17697,37207,1788,61,22058,17705,18884,15889
Valle Gran Rey-38049,1726,1641,4719,1791,62,22034,16775,19091,15267
Arona-38006,38774,36273,85249,1886,65,21651,17679,18543,15781
Tijarafe-38047,1382,1285,2640,1891,66,21628,16392,19877,15466
Garachico-38015,2269,1992,4936,1910,67,21557,16507,18580,15114
Agulo-38002,393,359,1113,1949,69,21378,17323,18349,15605
Guía de Isora-38019,10293,9627,22301,1967,70,21290,18254,18373,16229
San Andrés y Sauces-38033,2426,2186,4219,2021,71,21070,16708,19459,15863
Vilaflor-38052,797,738,1823,2024,72,21053,16999,18228,15493
"Guancha, La-38018",2768,2429,5562,2086,73,20685,17536,17931,15738
San Juan de la Rambla-38034,2425,2139,4908,2103,74,20623,17417,17893,15626
Buenavista del Norte-38010,2159,1922,4710,2119,75,20572,15890,17925,14869
"Victoria de Acentejo, La-38051",4702,4130,9228,2136,76,20463,17445,17697,15713
Fuencaliente de la Palma-38014,921,862,1841,2160,77,20325,16862,18866,15958
Icod de los Vinos-38022,11874,10462,23971,2161,78,20324,16850,17574,15300
Puntagorda-38029,963,889,2320,2188,79,20172,15047,18512,14292
Tazacorte-38045,2150,1989,4575,2202,80,20121,15509,18678,14649
Hermigua-38021,789,729,1838,2255,81,19867,16391,17397,15234
"Silos, Los-38042",2150,1905,4679,2366,83,19367,16016,16892,14822
Vallehermoso-38050,972,890,2935,2386,84,19234,16257,16836,14963
Barlovento-38007,957,882,1944,2451,85,18897,15955,17495,15095
"Tanque, El-38044",1327,1204,2784,2458,86,18874,16252,16498,14978
Garafía-38016,637,593,1916,2736,87,16997,15388,15843,14525
Cantabria,352315,311959,588419,,,29166,23588,23860,20345
Cantabria,352315,311959,588419,,,29166,23588,23860,20345
Santa Cruz de Bezana-39073,8594,7802,13689,139,1,36088,28219,28664,23697
Castro-Urdiales-39020,18499,16303,33225,249,2,33322,27733,26524,23228
Santander-39075,108568,98018,172726,323,3,32031,25222,25869,21677
Piélagos-39052,16263,14574,26605,338,4,31780,25394,25489,21633
Liendo-39036,655,595,1242,344,5,31748,24818,25521,21395
Ribamontán al Mar-39061,2595,2325,4636,532,6,29767,23444,24253,20118
Villaescusa-39099,2258,1978,3949,540,7,29669,24296,24244,21077
Argoños-39005,1136,1011,1860,576,8,29383,23487,23971,20349
Suances-39085,5533,4791,9091,585,9,29346,23879,23905,20575
Marina de Cudeyo-39040,3244,2888,5148,632,10,28970,24187,23799,20628
Polanco-39054,3682,3181,6175,646,11,28860,23524,23651,20277
Santillana del Mar-39076,2645,2294,4245,696,12,28530,23368,23381,20177
Camargo-39016,18896,16617,30349,736,13,28298,23794,23346,20455
Miengo-39044,3316,2960,5199,758,14,28135,23849,23126,20381
Guriezo-39030,1327,1169,2438,785,15,27990,23467,22900,20243
Ribamontán al Monte-39062,1414,1268,2498,791,16,27919,22688,22778,19550
Mazcuerras-39041,1240,1089,2083,795,17,27858,22744,22855,19564
Torrelavega-39087,30675,26117,51361,797,18,27846,22325,23109,19491
Medio Cudeyo-39042,4600,4037,7696,812,19,27705,22723,22863,19695
Penagos-39048,1227,1083,2244,854,20,27408,23164,22724,20067
Reinosa-39059,6081,5211,8570,863,21,27339,24153,22818,20958
Entrambasaguas-39028,3455,3131,5568,868,22,27285,22673,22524,19563
"Astillero, El-39008",10930,9642,18220,873,23,27258,23418,22587,20196
Campoo de Enmedio-39027,2423,2081,3763,887,24,27160,24483,22491,21082
Limpias-39038,1111,992,1975,916,25,26915,22739,22311,19355
Colindres-39023,4877,4340,8549,926,26,26837,22502,22279,19480
Cabezón de la Sal-39012,5251,4564,8181,947,27,26667,22237,22086,19163
Laredo-39035,6034,5442,10849,966,28,26565,21922,22169,19026
Bárcena de Cicero-39009,2810,2511,4653,967,29,26534,22407,21951,19366
Reocín-39060,5133,4382,8422,988,30,26415,22972,22010,19819
Hermandad de Campoo de Suso-39032,814,732,1588,1011,31,26215,23964,21683,20386
Arnuero-39006,1239,1090,2255,1033,32,26114,21480,21587,18430
"Corrales de Buelna, Los-39025",6705,5521,10785,1041,33,26069,23451,21953,20311
Puente Viesgo-39056,1579,1366,2884,1044,34,26029,22717,21640,19998
Liérganes-39037,1404,1236,2397,1062,35,25924,21294,21575,18506
Santa María de Cayón-39074,5619,5005,9316,1069,36,25898,22590,21618,19508
Cartes-39018,3497,3067,5800,1100,37,25718,22350,21358,19262
Noja-39047,1336,1193,2741,1101,38,25707,20855,21246,17841
Hazas de Cesto-39031,987,888,1782,1113,39,25626,21238,21262,18648
Ampuero-39002,2600,2276,4455,1143,40,25491,21779,21317,18990
Castañeda-39019,1924,1725,3160,1165,41,25320,22337,21072,19210
Comillas-39024,1126,1008,2135,1177,42,25233,20147,21112,17776
Santoña-39079,5846,5263,10892,1179,43,25217,20731,21118,18150
San Felices de Buelna-39069,1348,1113,2390,1180,44,25213,22412,21224,19567
San Vicente de la Barquera-39080,2311,2051,4038,1221,45,25001,19388,20801,17011
Santiurde de Toranzo-39078,996,854,1732,1227,46,24963,22440,20931,19561
Voto-39102,1595,1430,2947,1289,47,24696,21674,20689,18729
Alfoz de Lloredo-39001,1354,1158,2471,1300,48,24629,20772,20681,18070
Ruente-39066,540,466,1052,1358,49,24348,21869,20469,19031
Villacarriedo-39098,856,760,1674,1386,50,24188,19569,20374,17244
Bareyo-39011,1169,1041,2144,1439,51,23926,20446,20083,17851
Meruelo-39043,1181,1063,2230,1443,52,23883,20457,19969,17706
Ramales de la Victoria-39057,1658,1465,3027,1477,53,23644,20443,19797,17774
Riotuerto-39064,966,843,1666,1490,54,23544,20327,19793,17552
Potes-39055,781,728,1336,1546,55,23190,18306,19500,16287
Valdáliga-39091,1123,978,2167,1584,56,23024,19529,19420,17066
Corvera de Toranzo-39026,1205,1054,2096,1642,57,22757,20087,19325,17514
Molledo-39046,817,692,1476,1701,58,22449,20018,19219,17557
Solórzano-39084,545,479,1080,1720,59,22382,19512,19088,17035
Val de San Vicente-39095,1545,1400,2783,1732,60,22312,18425,18949,16382
Cillorigo de Liébana-39022,721,662,1344,1753,61,22235,18291,18984,16157
Arenas de Iguña-39004,1023,853,1742,1756,62,22210,20825,19093,18053
Selaya-39082,1118,1000,1845,1809,63,21946,18528,18653,16382
Rionansa-39063,453,398,1034,2048,64,20930,18802,18081,16882
Soba-39083,505,454,1108,2688,65,17349,13859,15084,13437
Agrupación municipios pequeños-39,9357,8251,19638,-,-,21881,18290,18708,16412
Castilla y León,1481539,1315508,2380131,,,27356,22472,22521,19361
Avila,91870,80053,158407,,,24144,19729,20278,17427
Avila-05019,39292,35350,57741,727,45,28349,24021,23312,20618
Arévalo-05016,4937,4341,7768,1294,111,24653,20394,20666,17883
"Adrada, La-05002",1348,1165,2727,1611,155,22900,17855,19338,16433
Piedrahíta-05186,1087,937,1662,1636,158,22782,18612,19419,16348
"Navas del Marqués, Las-05168",2878,2325,5362,1672,166,22598,18816,19195,16572
"Barco de Avila, El-05021",1365,1194,2276,1704,169,22443,18772,19182,16526
Navaluenga-05163,1002,832,2164,1762,176,22179,17928,18866,16294
Arenas de San Pedro-05014,3791,3221,6464,1772,178,22128,17664,18758,15896
Sotillo de la Adrada-05240,2293,1933,4870,1907,194,21574,17300,18300,15578
Burgohondo-05041,524,441,1240,2052,208,20912,17322,17932,15938
"Tiemblo, El-05241",2219,1837,4445,2060,209,20873,17228,17895,15758
Cebreros-05057,1720,1408,3256,2158,220,20347,17154,17627,15672
Piedralaves-05187,1137,949,2136,2197,224,20137,16040,17312,14861
"Barraco, El-05022",1027,863,2005,2264,229,19833,16303,17206,15022
"Hoyo de Pinares, El-05102",1171,961,2153,2400,235,19159,16105,16631,14673
Candeleda-05047,2678,2312,5001,2422,237,19045,15144,16447,14139
Casavieja-05054,705,583,1410,2460,239,18865,15476,16259,14235
Madrigal de las Altas Torres-05114,777,669,1338,2741,241,16949,15064,15033,14295
Agrupación municipios pequeños-05,21919,18732,44389,-,-,19625,15760,17051,14728
Burgos,227409,205370,357180,,,29130,24546,23799,20846
Cardeñajimeno-09074,718,654,1195,70,2,40041,27818,30544,23521
Burgos-09059,123074,112208,174451,392,14,31258,26229,25316,22075
Arcos-09023,1104,1017,1826,424,18,30840,27845,24994,22959
Condado de Treviño-09109,866,809,1479,488,22,30171,26910,24283,22090
Merindad de Río Ubierna-09906,665,620,1430,502,23,30013,25189,24117,21043
Villagonzalo Pedernales-09434,1156,1062,1862,529,25,29784,26012,24233,21460
Cardeñadijo-09073,941,865,1452,543,28,29650,26542,23917,21922
Miranda de Ebro-09219,22435,19769,35639,611,34,29126,25804,23904,21804
Alfoz de Quintanadueñas-09907,1247,1153,2180,619,36,29057,25752,23761,21574
Villalbilla de Burgos-09439,892,831,1495,658,39,28791,25184,23489,21105
Aranda de Duero-09018,22195,19663,33626,701,42,28475,24351,23339,20639
Valle de Mena-09410,2040,1793,4096,816,51,27674,22917,22540,19783
Ibeas de Juarros-09177,794,730,1411,839,52,27508,24495,22755,20650
Medina de Pomar-09209,3468,3052,5866,1097,75,25733,20890,21277,18160
Villarcayo de Merindad de Castilla la Vieja-09903,2367,2109,4018,1206,94,25066,20948,20869,18056
Salas de los Infantes-09330,1156,1044,1970,1344,119,24407,21443,20444,18443
Briviesca-09056,4324,3856,6414,1407,127,24108,21066,20192,18122
Lerma-09194,1519,1379,2585,1485,136,23592,19983,19734,17435
Belorado-09048,1064,963,1798,1538,143,23248,19648,19444,17315
Roa-09321,1416,1255,2220,1667,165,22632,18915,19114,16679
Villadiego-09427,743,675,1468,1841,188,21833,18103,18642,16250
Espinosa de los Monteros-09124,875,794,1633,2016,201,21099,17177,17985,15426
Melgar de Fernamental-09211,826,738,1525,2142,217,20434,18025,17566,16297
Pradoluengo-09274,591,531,1076,2180,223,20229,16796,17339,15409
Quintanar de la Sierra-09289,883,778,1534,2284,231,19756,17000,17219,15613
Agrupación municipios pequeños-09,30050,27022,62931,-,-,24001,19840,20154,17512
León,274522,243383,447463,,,26701,22271,22059,19229
Sariegos-24163,3345,3049,5413,105,4,37486,29647,29404,24359
León-24089,85818,77707,121281,446,21,30605,25429,24854,21634
Valdefresno-24175,1290,1177,2302,652,38,28819,22619,23325,19575
Villaquilambre-24222,11987,10943,18765,777,49,28003,23377,22838,19954
Villablino-24202,5374,4227,7845,869,53,27279,26763,22735,22599
Igüeña-24083,541,434,1083,915,56,26932,27123,22444,22153
Ponferrada-24115,41288,36342,62963,918,57,26891,22478,22090,19333
Garrafe de Torío-24076,748,687,1646,955,60,26618,22415,21961,19180
Cuadros-24061,1029,920,2088,962,62,26585,22822,21968,19627
"Robla, La-24134",2305,1897,3637,1016,65,26203,23177,21661,19965
Folgoso de la Ribera-24071,546,444,1005,1034,66,26114,24329,21981,20655
"Pola de Gordón, La-24114",1556,1276,2880,1055,68,25962,24671,21655,21410
San Andrés del Rabanedo-24142,19269,17184,29961,1073,72,25886,22433,21448,19303
Congosto-24057,804,686,1436,1108,77,25647,22385,21605,19459
Soto de la Vega-24166,829,739,1487,1119,79,25595,18295,21199,16402
Fabero-24070,2595,2115,4112,1139,81,25500,24171,21591,20739
Santovenia de la Valdoncina-24162,1140,1019,2081,1170,87,25275,21606,21053,18506
Valverde de la Virgen-24189,4312,3927,7687,1185,89,25190,21847,20941,18793
Villamañán-24212,533,472,1067,1196,91,25126,18790,21083,16887
Onzonilla-24105,1052,950,1880,1202,93,25090,20682,20971,18119
Astorga-24008,6620,5856,10321,1241,100,24894,20791,20788,18035
Cabañas Raras-24027,796,661,1316,1276,106,24731,21872,20728,18922
Bembibre-24014,5264,4380,8196,1283,108,24708,22685,20815,19563
Castropodame-24049,877,720,1588,1290,109,24693,22232,20916,19265
Matallana de Torío-24098,646,561,1258,1292,110,24671,21348,20676,18373
Villadangos del Páramo-24205,597,546,1222,1314,114,24575,19667,20429,17411
Toreno-24169,1840,1503,2898,1335,117,24466,23301,20639,19978
Torre del Bierzo-24170,1091,885,2026,1343,118,24410,23376,20554,20005
Cubillos del Sil-24064,918,788,1741,1385,122,24188,21330,20306,18321
Villasabariego-24225,597,542,1121,1387,123,24187,20206,20189,17447
Páramo del Sil-24110,643,519,1214,1391,125,24177,23302,20597,19895
Vegas del Condado-24201,494,458,1157,1437,131,23942,19792,20097,17629
Vega de Espinareda-24196,1278,1068,2016,1466,134,23727,21939,20205,18653
Valencia de Don Juan-24188,3000,2605,5185,1518,141,23381,20144,19636,17522
Sabero-24137,553,458,1046,1539,144,23242,21486,19868,18620
Villaturiel-24227,901,817,1886,1574,150,23068,19360,19512,17037
Santa María del Páramo-24157,1885,1694,3041,1593,153,22978,18156,19249,16376
"Bañeza, La-24010",6185,5470,10047,1616,156,22880,19363,19304,16981
Villarejo de Órbigo-24223,1692,1496,2908,1638,159,22764,19322,19299,16615
Carracedelo-24038,1970,1716,3431,1648,160,22737,20295,19346,17669
Cistierna-24056,1660,1437,2951,1660,164,22675,19818,19186,17389
Puente de Domingo Flórez-24122,790,682,1406,1690,167,22492,21399,19247,18479
Cacabelos-24030,2933,2537,4793,1691,168,22488,19497,19127,17240
Villafranca del Bierzo-24209,1482,1315,2694,1705,170,22437,19230,19077,16931
San Justo de la Vega-24148,1021,911,1761,1717,172,22400,18809,19256,16618
Camponaraya-24034,2368,2074,4096,1736,173,22309,19985,18936,17503
Chozas de Abajo-24065,1512,1339,2677,1795,179,21998,19972,18829,17454
Toral de los Vados-24206,1013,887,1779,1833,185,21871,19371,18760,17137
Benavides-24015,1320,1156,2367,1877,192,21672,18803,18507,16606
Boñar-24021,913,808,1804,1952,196,21373,18287,18345,16158
Sahagún-24139,1401,1255,2456,2005,200,21127,17621,18100,15932
Laguna de Negrillos-24088,501,449,1050,2018,202,21088,16782,18074,15153
Valdepolo-24180,561,513,1197,2019,203,21088,16684,18109,15463
Carrizo-24039,1343,1190,2208,2043,206,20952,18186,17932,16141
Santa Elena de Jamuz-24154,493,424,1038,2137,215,20462,17122,17554,15239
Mansilla de las Mulas-24094,955,830,1654,2145,219,20411,17542,17626,15970
Santa Marina del Rey-24159,931,827,1772,2163,221,20321,16891,17497,15255
Valderas-24181,887,742,1524,2365,233,19371,15705,16913,14609
Bustillo del Páramo-24026,583,527,1076,2377,234,19280,16298,16830,15102
Agrupación municipios pequeños-24,27647,24542,62923,-,-,20996,16847,18037,15446
Palencia,99557,88330,157752,,,26402,22482,21886,19335
Grijota-34079,1683,1523,2690,429,19,30788,25336,24872,21480
Villalobón-34217,1164,1065,1871,622,37,29024,25683,23671,21587
Palencia-34120,52254,46771,76331,718,43,28384,24164,23298,20709
Aguilar de Campoo-34004,4625,4257,6733,941,59,26704,22913,21937,19628
Villamuriel de Cerrato-34225,4117,3612,6459,1066,70,25904,23341,21651,19783
Velilla del Río Carrión-34199,625,523,1145,1067,71,25902,23489,21476,19684
Venta de Baños-34023,4005,3497,6284,1161,84,25354,22998,21240,19595
Saldaña-34157,1895,1674,2904,1200,92,25096,19756,20855,17066
Magaz de Pisuerga-34098,694,623,1011,1238,99,24901,21954,20676,18924
Guardo-34080,3773,3218,5653,1244,101,24884,21563,20848,18539
Dueñas-34069,1600,1397,2597,1418,129,24059,21664,20196,18585
Astudillo-34017,506,453,1036,1450,132,23855,20137,20037,17832
Osorno la Mayor-34901,708,624,1170,1552,145,23179,19950,19734,17313
Barruelo de Santullán-34027,616,561,1182,1554,147,23179,20417,19554,17661
Cervera de Pisuerga-34056,1401,1268,2265,1649,161,22735,19788,19181,17299
Carrión de los Condes-34047,1222,1080,2005,1652,163,22727,19046,19242,16789
Baltanás-34022,755,640,1212,1750,175,22243,18942,19047,16507
Herrera de Pisuerga-34083,1126,990,1889,1797,180,21993,18966,18780,16780
Paredes de Nava-34123,1029,888,1895,2084,210,20690,17421,17690,15690
