RESULTADOS ELECTORALES POR MESA;;;;;;;;;;;;;EH BILDU...(E24);EH BILDU...(E24);EH BILDU...(E24);PSOE;PSOE;PSOE;EAJ-PNV... (E24);EAJ-PNV... (E24);EAJ-PNV... (E24);PP;PP;PP;SUMAR... (E24);SUMAR... (E24);SUMAR... (E24);PODEMOS;PODEMOS;PODEMOS;VOX;VOX;VOX;SE ACABO LA FIESTA;SE ACABO LA FIESTA;SE ACABO LA FIESTA;PACMA;PACMA;PACMA;FO;FO;FO;IE;IE;IE;PFAC;PFAC;PFAC;EB-AZ;EB-AZ;EB-AZ;Cs;Cs;Cs;IZQESP;IZQESP;IZQESP;EXISTE;EXISTE;EXISTE;PCTE / ELAK;PCTE / ELAK;PCTE / ELAK;PCPE/PCPC;PCPE/PCPC;PCPE/PCPC;PIRATES/REBELDES;PIRATES/REBELDES;PIRATES/REBELDES;JUNTS UE;JUNTS UE;JUNTS UE;VOLT;VOLT;VOLT;RECORTES CERO;RECORTES CERO;RECORTES CERO;PH;PH;PH;CREE EN EUROPA;CREE EN EUROPA;CREE EN EUROPA;SAE;SAE;SAE;CRT;CRT;CRT;F;F;F;PMR;PMR;PMR;PREPAL;PREPAL;PREPAL;FE-JONS;FE-JONS;FE-JONS;GLG;GLG;GLG;ANDALUCISTAS;ANDALUCISTAS;ANDALUCISTAS;J.U.E.X.;J.U.E.X.;J.U.E.X.;EXTREMEÑOS;EXTREMEÑOS;EXTREMEÑOS
TH;Municipio;Cód. Municipio;Distrito;Sección;Mesa;Censo;Votos;Nulos;Válidos;Blancos;V. Candidaturas;Abstención;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos
Álava;AMURRIO;"	002";"	01";"	001";"	A";623;350;3;347;3;344;273;98;28.49;28.24;89;25.87;25.65;85;24.71;24.5;24;6.98;6.92;16;4.65;4.61;6;1.74;1.73;19;5.52;5.48;0;0.0;0.0;1;0.29;0.29;2;0.58;0.58;0;0.0;0.0;0;0.0;0.0;1;0.29;0.29;1;0.29;0.29;0;0.0;0.0;2;0.58;0.58;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AMURRIO;"	002";"	01";"	001";"	B";555;341;4;337;;337;214;107;31.75;31.75;85;25.22;25.22;88;26.11;26.11;30;8.9;8.9;7;2.08;2.08;5;1.48;1.48;5;1.48;1.48;3;0.89;0.89;0;0.0;0.0;2;0.59;0.59;0;0.0;0.0;2;0.59;0.59;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;2;0.59;0.59;1;0.3;0.3;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AMURRIO;"	002";"	01";"	001";"	C";278;168;;168;;168;110;56;33.33;33.33;24;14.29;14.29;62;36.9;36.9;12;7.14;7.14;3;1.79;1.79;4;2.38;2.38;3;1.79;1.79;2;1.19;1.19;1;0.6;0.6;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.6;0.6;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AMURRIO;"	002";"	01";"	002";"	A";563;312;2;310;;310;251;104;33.55;33.55;80;25.81;25.81;67;21.61;21.61;25;8.06;8.06;2;0.65;0.65;14;4.52;4.52;9;2.9;2.9;2;0.65;0.65;1;0.32;0.32;1;0.32;0.32;1;0.32;0.32;1;0.32;0.32;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.32;0.32;2;0.65;0.65;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AMURRIO;"	002";"	01";"	002";"	B";513;246;3;243;1;242;267;74;30.58;30.45;57;23.55;23.46;71;29.34;29.22;15;6.2;6.17;3;1.24;1.23;4;1.65;1.65;10;4.13;4.12;2;0.83;0.82;2;0.83;0.82;3;1.24;1.23;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.41;0.41;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AMURRIO;"	002";"	01";"	002";"	C";210;123;;123;1;122;87;64;52.46;52.03;10;8.2;8.13;35;28.69;28.46;3;2.46;2.44;0;0.0;0.0;3;2.46;2.44;2;1.64;1.63;1;0.82;0.81;0;0.0;0.0;0;0.0;0.0;1;0.82;0.81;1;0.82;0.81;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;2;1.64;1.63;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AMURRIO;"	002";"	01";"	003";"	A";573;329;;329;;329;244;119;36.17;36.17;72;21.88;21.88;77;23.4;23.4;21;6.38;6.38;8;2.43;2.43;18;5.47;5.47;6;1.82;1.82;2;0.61;0.61;2;0.61;0.61;1;0.3;0.3;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;2;0.61;0.61;1;0.3;0.3;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AMURRIO;"	002";"	01";"	003";"	B";535;316;1;315;5;310;219;108;34.84;34.29;63;20.32;20.0;93;30.0;29.52;28;9.03;8.89;3;0.97;0.95;7;2.26;2.22;3;0.97;0.95;5;1.61;1.59;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AMURRIO;"	002";"	01";"	004";"	A";682;383;4;379;2;377;299;113;29.97;29.82;86;22.81;22.69;121;32.1;31.93;31;8.22;8.18;9;2.39;2.37;8;2.12;2.11;5;1.33;1.32;1;0.27;0.26;2;0.53;0.53;1;0.27;0.26;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AMURRIO;"	002";"	01";"	004";"	B";739;429;;429;;429;310;154;35.9;35.9;114;26.57;26.57;96;22.38;22.38;31;7.23;7.23;9;2.1;2.1;8;1.86;1.86;8;1.86;1.86;2;0.47;0.47;1;0.23;0.23;0;0.0;0.0;1;0.23;0.23;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.23;0.23;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.23;0.23;0;0.0;0.0;0;0.0;0.0;2;0.47;0.47;1;0.23;0.23;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AMURRIO;"	002";"	01";"	005";"	A";454;244;1;243;;243;210;57;23.46;23.46;74;30.45;30.45;67;27.57;27.57;18;7.41;7.41;6;2.47;2.47;6;2.47;2.47;8;3.29;3.29;1;0.41;0.41;3;1.23;1.23;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.41;0.41;1;0.41;0.41;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.41;0.41;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;AMURRIO;"	002";"	01";"	005";"	B";458;245;;245;2;243;213;53;21.81;21.63;77;31.69;31.43;63;25.93;25.71;17;7.0;6.94;5;2.06;2.04;10;4.12;4.08;10;4.12;4.08;1;0.41;0.41;0;0.0;0.0;0;0.0;0.0;2;0.82;0.82;0;0.0;0.0;2;0.82;0.82;0;0.0;0.0;1;0.41;0.41;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.41;0.41;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.41;0.41;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
