RESULTADOS ELECTORALES POR MUNICIPIO;;;;;;;;;;EH BILDU...(E24);EH BILDU...(E24);EH BILDU...(E24);PSOE;PSOE;PSOE;EAJ-PNV... (E24);EAJ-PNV... (E24);EAJ-PNV... (E24);PP;PP;PP;SUMAR... (E24);SUMAR... (E24);SUMAR... (E24);PODEMOS;PODEMOS;PODEMOS;VOX;VOX;VOX;SE ACABO LA FIESTA;SE ACABO LA FIESTA;SE ACABO LA FIESTA;PACMA;PACMA;PACMA;FO;FO;FO;IE;IE;IE;PFAC;PFAC;PFAC;EB-AZ;EB-AZ;EB-AZ;Cs;Cs;Cs;IZQESP;IZQESP;IZQESP;EXISTE;EXISTE;EXISTE;PCTE / ELAK;PCTE / ELAK;PCTE / ELAK;PCPE/PCPC;PCPE/PCPC;PCPE/PCPC;PIRATES/REBELDES;PIRATES/REBELDES;PIRATES/REBELDES;JUNTS UE;JUNTS UE;JUNTS UE;VOLT;VOLT;VOLT;RECORTES CERO;RECORTES CERO;RECORTES CERO;PH;PH;PH;CREE EN EUROPA;CREE EN EUROPA;CREE EN EUROPA;SAE;SAE;SAE;CRT;CRT;CRT;F;F;F;PMR;PMR;PMR;PREPAL;PREPAL;PREPAL;FE-JONS;FE-JONS;FE-JONS;GLG;GLG;GLG;ANDALUCISTAS;ANDALUCISTAS;ANDALUCISTAS;J.U.E.X.;J.U.E.X.;J.U.E.X.;EXTREMEÑOS;EXTREMEÑOS;EXTREMEÑOS
TH;Municipio;Cód. Municipio;Censo;Votos;Nulos;Válidos;Blancos;V. Candidaturas;Abstención;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos;V. Candidatura;%V. Candidaturas;%V. Válidos
Álava;AYALA/AIARA;"	010";2327;1220;7;1213;14;1199;1107;409;34.11;33.72;210;17.51;17.31;348;29.02;28.69;99;8.26;8.16;39;3.25;3.22;21;1.75;1.73;37;3.09;3.05;18;1.5;1.48;5;0.42;0.41;1;0.08;0.08;3;0.25;0.25;1;0.08;0.08;0;0.0;0.0;1;0.08;0.08;0;0.0;0.0;2;0.17;0.16;3;0.25;0.25;0;0.0;0.0;0;0.0;0.0;1;0.08;0.08;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.08;0.08;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;BAÑOS DE EBRO/MAÑUETA;"	011";230;140;;140;2;138;90;5;3.62;3.57;27;19.57;19.29;38;27.54;27.14;58;42.03;41.43;0;0.0;0.0;0;0.0;0.0;5;3.62;3.57;3;2.17;2.14;0;0.0;0.0;1;0.72;0.71;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.72;0.71;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;BARRUNDIA;"	013";740;355;3;352;2;350;385;156;44.57;44.32;80;22.86;22.73;59;16.86;16.76;24;6.86;6.82;11;3.14;3.12;7;2.0;1.99;4;1.14;1.14;6;1.71;1.7;1;0.29;0.28;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.29;0.28;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.29;0.28;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;BERANTEVILLA;"	014";377;204;;204;1;203;173;42;20.69;20.59;46;22.66;22.55;58;28.57;28.43;37;18.23;18.14;3;1.48;1.47;5;2.46;2.45;9;4.43;4.41;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.49;0.49;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.49;0.49;1;0.49;0.49;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;BERNEDO;"	016";459;181;2;179;1;178;278;54;30.34;30.17;31;17.42;17.32;43;24.16;24.02;19;10.67;10.61;9;5.06;5.03;4;2.25;2.23;5;2.81;2.79;7;3.93;3.91;3;1.69;1.68;1;0.56;0.56;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;2;1.12;1.12;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;CAMPEZO/KANPEZU;"	017";875;434;1;433;2;431;441;167;38.75;38.57;75;17.4;17.32;98;22.74;22.63;44;10.21;10.16;17;3.94;3.93;8;1.86;1.85;11;2.55;2.54;4;0.93;0.92;1;0.23;0.23;2;0.46;0.46;0;0.0;0.0;1;0.23;0.23;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;2;0.46;0.46;1;0.23;0.23;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ELBURGO/BURGELU;"	021";511;231;2;229;1;228;280;38;16.67;16.59;51;22.37;22.27;59;25.88;25.76;32;14.04;13.97;7;3.07;3.06;4;1.75;1.75;15;6.58;6.55;8;3.51;3.49;3;1.32;1.31;4;1.75;1.75;2;0.88;0.87;0;0.0;0.0;1;0.44;0.44;0;0.0;0.0;0;0.0;0.0;1;0.44;0.44;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.44;0.44;1;0.44;0.44;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.44;0.44;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ELCIEGO;"	022";735;433;9;424;2;422;302;45;10.66;10.61;143;33.89;33.73;67;15.88;15.8;109;25.83;25.71;17;4.03;4.01;6;1.42;1.42;18;4.27;4.25;5;1.18;1.18;2;0.47;0.47;3;0.71;0.71;1;0.24;0.24;1;0.24;0.24;1;0.24;0.24;0;0.0;0.0;0;0.0;0.0;1;0.24;0.24;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.24;0.24;1;0.24;0.24;0;0.0;0.0;1;0.24;0.24;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ELVILLAR/BILAR;"	023";264;156;2;154;2;152;108;34;22.37;22.08;13;8.55;8.44;54;35.53;35.06;36;23.68;23.38;0;0.0;0.0;5;3.29;3.25;7;4.61;4.55;2;1.32;1.3;0;0.0;0.0;1;0.66;0.65;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
Álava;ERRIBERAGOITIA/RIBERA ALTA;"	046";691;337;4;333;2;331;354;63;19.03;18.92;71;21.45;21.32;83;25.08;24.92;56;16.92;16.82;11;3.32;3.3;17;5.14;5.11;17;5.14;5.11;4;1.21;1.2;1;0.3;0.3;2;0.6;0.6;0;0.0;0.0;1;0.3;0.3;2;0.6;0.6;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.3;0.3;0;0.0;0.0;1;0.3;0.3;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;1;0.3;0.3;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
