ELECCIÓN,TH,CODCOM,CODMUN,CIRCUNSCRIPCIÓN,PARTIDO,NOMBRE
"E89,,0,0,ESTADO,ARM-ADE,""PERREAU DE PINNINCK DOMENECH,CARLOS"""
"E89,,0,0,ESTADO,ARM-ADE,""RUIZ-MATEOS JIMENEZ DE TEJADA,JOSE MARIA"""
"E89,,0,0,ESTADO,CDS,""CALVO ORTEGA,RAFAEL"""
"E89,,0,0,ESTADO,CDS,""CASO GARCIA,JOSE RAMON"""
"E89,,0,0,ESTADO,CDS,""MORODO LEONCIO,RAUL"""
"E89,,0,0,ESTADO,CDS,""PUNSET CASALS,EDUARDO"""
"E89,,0,0,ESTADO,CDS,""RUIZ-GIMENEZ AGUILAR,GUADALUPE"""
"E89,,0,0,ESTADO,CIU,""FERRER CASALS,CONCEPCIO"""
"E89,,0,0,ESTADO,CIU,""GASOLIBA BÉHM,CARLES ALFRED"""
"E89,,0,0,ESTADO,EA...(E89),""GARAIKOETXEA URRIZA,CARLOS"""
"E89,,0,0,ESTADO,EB,""DOMINGO SEGARRA,TERESA"""
"E89,,0,0,ESTADO,EB,""GUTIERREZ DIAZ,ANTONI"""
"E89,,0,0,ESTADO,EB,""PEREZ ROYO,FERNANDO"""
"E89,,0,0,ESTADO,EB,""PUERTA GUTIERREZ,ALONSO JOSE"""
"E89,,0,0,ESTADO,EE...(E89),""BANDRES MOLET,JUAN MARIA"""
"E89,,0,0,ESTADO,HB,""MONTERO ZABALA,JOSE MARIA"""
"E89,,0,0,ESTADO,P.A.,""PACHECO HERRERA,PEDRO"""
"E89,,0,0,ESTADO,PNV...(E89),""GANGOITI LLAGUNO,JON"""
"E89,,0,0,ESTADO,PP,""ARIAS CAÑETE,MIGUEL"""
"E89,,0,0,ESTADO,PP,""CABANILLAS GALLAS,PIO"""
"E89,,0,0,ESTADO,PP,""ESCUDER CROFT,ARTURO JUAN"""
"E89,,0,0,ESTADO,PP,""FERNANDEZ ALBOR,GERARDO"""
"E89,,0,0,ESTADO,PP,""GARCIA AMIGO,MANUEL"""
"E89,,0,0,ESTADO,PP,""GIL-ROBLES GIL-DELGADO,JOSE MARIA"""
"E89,,0,0,ESTADO,PP,""LLORCA VILAPLANA,CARMEN"""
"E89,,0,0,ESTADO,PP,""NAVARRO VELASCO,ANTONIO"""
"E89,,0,0,ESTADO,PP,""OREJA AGUIRRE,MARCELINO"""
"E89,,0,0,ESTADO,PP,""ORTIZ CLIMENT,LEOPOLDO"""
"E89,,0,0,ESTADO,PP,""ROBLES PIQUER,CARLOS"""
"E89,,0,0,ESTADO,PP,""ROMERA ALCAZAR,DOMENEC"""
"E89,,0,0,ESTADO,PP,""SISO CRUELLAS,JOAQUIN"""
"E89,,0,0,ESTADO,PP,""SUAREZ GONZALEZ,FERNANDO"""
"E89,,0,0,ESTADO,PP,""VALVERDE LOPEZ,JOSE LUIS"""
"E89,,0,0,ESTADO,PSE-PSOE,""ALVAREZ DE PAZ,JOSE"""
"E89,,0,0,ESTADO,PSE-PSOE,""ARBELOA MURU,VICTOR MANUEL"""
"E89,,0,0,ESTADO,PSE-PSOE,""BARON CRESPO,ENRIQUE CARLOS"""
"E89,,0,0,ESTADO,PSE-PSOE,""BOFILL ABEILHE,PEDRO"""
"E89,,0,0,ESTADO,PSE-PSOE,""BRU PURON,CARLOS MARIA"""
"E89,,0,0,ESTADO,PSE-PSOE,""CABEZON ALONSO,JESUS"""
"E89,,0,0,ESTADO,PSE-PSOE,""CANO PINTO,EUSEBIO"""
"E89,,0,0,ESTADO,PSE-PSOE,""COLINO SALAMANCA,JUAN LUIS"""
"E89,,0,0,ESTADO,PSE-PSOE,""COLOM NAVAL,JOAN"""
"E89,,0,0,ESTADO,PSE-PSOE,""DE LA CAMARA MARTINEZ,JUAN JOSE"""
"E89,,0,0,ESTADO,PSE-PSOE,""DIEZ DE RIVERA ICAZA,CARMEN"""
"E89,,0,0,ESTADO,PSE-PSOE,""DUHRKOP DUHRKOP,BARBARA"""
"E89,,0,0,ESTADO,PSE-PSOE,""GARCIA ARIAS,LUDIVINA"""
"E89,,0,0,ESTADO,PSE-PSOE,""IZQUIERDO ROJO,MARIA"""
"E89,,0,0,ESTADO,PSE-PSOE,""MEDINA ORTEGA,MANUEL"""
"E89,,0,0,ESTADO,PSE-PSOE,""MIRANDA DE LAGE,ANA CLARA MARIA"""
"E89,,0,0,ESTADO,PSE-PSOE,""MORAN LOPEZ,FERNANDO"""
"E89,,0,0,ESTADO,PSE-PSOE,""OLIVA GARCIA,FRANCISCO"""
"E89,,0,0,ESTADO,PSE-PSOE,""PLANAS PUCHADES,LUIS"""
"E89,,0,0,ESTADO,PSE-PSOE,""PONS GRAU,JOSEP ENRIQUE"""
"E89,,0,0,ESTADO,PSE-PSOE,""RAMIREZ HEREDIA,JUAN DE DIOS"""
"E89,,0,0,ESTADO,PSE-PSOE,""RUBERT DE VENTOS,XAVIER"""
"E89,,0,0,ESTADO,PSE-PSOE,""SANZ FERNANDEZ,FRANCISCO JAVIER"""
"E89,,0,0,ESTADO,PSE-PSOE,""SAPENA GRANELL,ENRIQUE"""
"E89,,0,0,ESTADO,PSE-PSOE,""SIERRA BARDAJI,MATEO"""
"E89,,0,0,ESTADO,PSE-PSOE,""VAZQUEZ FOUZ,JOSE"""
"E89,,0,0,ESTADO,PSE-PSOE,""VERDE ALDEA,JOSEP"""
