TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,HB,EB,CDS,EKA,AR,LVE,PH,ARM-ADE,PTE-UC,FE-JONS,PCPE-EHAC,F.N.,UNA,CIU,BNG,LA,P.A.,CSD,EE...(E89),FPR,PNV...(E89),AV-MEC,BACTERIA,PED,EA...(E89),EPV,PST-PORE,PV,IDE,LB
ARABA-ÁLAVA,017,CAMPEZO / KANPEZU,1,1,U,996,600,7,593,4,589,396,92,149,61,2,9,0,2,2,0,3,1,0,0,0,1,0,0,0,0,1,30,0,189,0,,2,43,0,0,0,0,2
ARABA-ÁLAVA,018,ZIGOITIA,1,1,U,639,327,4,323,7,316,312,35,24,88,0,6,0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,27,0,52,0,,0,76,0,0,0,0,2
ARABA-ÁLAVA,019,KRIPAN,1,1,U,171,104,0,104,2,102,67,0,3,9,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,77,1,,0,1,1,1,0,0,1
ARABA-ÁLAVA,020,KUARTANGO,1,1,U,301,148,5,148,4,144,153,11,18,36,1,4,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,13,0,40,0,,0,7,0,2,0,1,0
ARABA-ÁLAVA,021,ELBURGO / BURGELU,1,1,U,173,86,2,84,2,82,87,7,6,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,41,0,,0,9,1,0,0,1,0
ARABA-ÁLAVA,022,ELCIEGO,1,1,U,737,507,13,494,8,486,230,204,83,22,7,18,0,1,5,1,7,1,1,0,4,0,1,2,0,0,0,22,1,16,0,,1,85,0,0,0,0,4
ARABA-ÁLAVA,023,ELVILLAR / BILAR,1,1,U,328,184,0,184,2,182,144,30,63,8,3,8,0,0,3,0,4,0,1,0,0,0,0,0,0,0,0,7,0,45,0,,0,5,2,1,0,2,0
ARABA-ÁLAVA,027,IRURAIZ-GAUNA,1,1,U,379,198,5,193,1,192,181,5,32,32,1,8,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,8,0,87,0,,0,13,0,0,0,0,1
ARABA-ÁLAVA,028,LABASTIDA / BASTIDA,1,1,U,760,466,1,465,2,463,294,93,169,66,8,8,0,0,2,1,12,10,0,0,3,0,0,1,0,2,4,22,0,46,0,,1,12,1,1,0,0,1
ARABA-ÁLAVA,030,LAGRÁN,1,1,U,176,109,0,109,3,106,67,17,19,3,1,7,0,0,0,0,3,0,1,0,0,1,0,0,0,0,3,4,0,41,1,,0,4,0,1,0,0,0
ARABA-ÁLAVA,031,LAGUARDIA,1,1,A,543,342,2,344,2,342,201,44,116,30,2,8,3,0,0,0,3,3,1,0,0,1,0,0,0,0,2,15,0,67,2,,0,34,2,1,0,2,1
ARABA-ÁLAVA,031,LAGUARDIA,1,1,B,671,425,2,430,5,425,246,63,133,37,3,13,4,0,0,0,8,3,0,0,0,0,0,0,0,0,1,20,0,79,2,,1,45,1,2,0,1,2
ARABA-ÁLAVA,032,LANCIEGO / LANTZIEGO,1,1,U,528,339,2,337,7,330,189,82,53,24,5,11,0,0,7,0,3,0,2,0,0,0,1,0,0,0,2,7,1,115,1,,0,11,1,0,0,1,3
ARABA-ÁLAVA,033,LAPUEBLA DE LABARCA,1,1,U,645,505,2,503,8,495,140,57,97,12,5,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,3,0,255,0,,0,56,0,0,0,1,1
ARABA-ÁLAVA,034,LEZA,1,1,U,184,118,3,115,1,114,66,28,13,7,1,2,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,4,0,18,0,,0,32,0,0,0,0,3
ARABA-ÁLAVA,036,LAUDIO / LLODIO,1,1,A,791,458,4,454,3,451,333,47,59,78,2,22,0,0,2,0,4,2,1,0,0,0,1,0,0,0,2,40,0,104,1,,0,82,1,1,0,0,2
ARABA-ÁLAVA,036,LAUDIO / LLODIO,1,1,B,903,548,6,542,3,539,355,69,76,101,3,26,0,1,3,0,9,1,0,0,0,0,1,1,0,0,1,52,1,111,0,,0,80,1,0,0,0,2
ARABA-ÁLAVA,036,LAUDIO / LLODIO,1,2,A,743,466,6,460,2,458,277,88,41,103,8,26,0,0,3,1,9,7,1,0,1,0,0,0,1,0,2,34,0,77,1,,0,45,4,1,0,1,4
ARABA-ÁLAVA,036,LAUDIO / LLODIO,1,2,B,855,522,8,514,2,512,333,103,41,91,6,26,0,0,7,0,7,5,0,1,0,1,0,0,1,0,4,52,0,94,1,,0,62,1,2,0,1,6
ARABA-ÁLAVA,036,LAUDIO / LLODIO,1,3,A,545,343,2,341,1,340,202,83,26,94,5,17,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,20,0,47,2,,0,40,0,0,0,0,1
ARABA-ÁLAVA,036,LAUDIO / LLODIO,1,3,B,521,316,6,318,2,316,205,90,15,75,10,17,0,0,0,0,4,1,0,1,0,0,0,0,1,0,0,17,0,48,2,,0,27,0,0,0,0,2
ARABA-ÁLAVA,036,LAUDIO / LLODIO,1,4,U,856,523,3,520,5,515,333,94,43,112,6,34,0,1,4,0,7,2,1,1,0,0,0,0,0,0,0,47,1,97,1,,0,56,0,3,0,0,5
ARABA-ÁLAVA,036,LAUDIO / LLODIO,1,5,A,775,485,4,481,2,479,290,51,22,175,8,17,0,1,6,1,1,0,3,1,0,0,0,0,0,0,0,36,0,86,0,,0,63,2,1,0,1,3
ARABA-ÁLAVA,036,LAUDIO / LLODIO,1,5,B,833,487,2,485,0,485,346,65,26,160,8,8,0,1,4,0,1,2,0,1,1,0,0,2,0,0,3,34,2,117,1,,0,46,0,0,0,1,1
ARABA-ÁLAVA,036,LAUDIO / LLODIO,1,6,A,746,467,5,462,3,459,279,68,52,109,6,14,1,0,2,0,1,1,1,0,0,0,0,0,0,1,1,33,1,108,0,,0,58,0,1,0,0,1
ARABA-ÁLAVA,036,LAUDIO / LLODIO,1,6,B,757,474,2,472,5,467,283,59,61,80,9,20,2,0,4,0,3,0,1,0,1,0,1,0,0,2,2,39,0,118,2,,0,61,1,0,0,0,1
ARABA-ÁLAVA,036,LAUDIO / LLODIO,1,7,A,654,439,11,428,9,419,215,88,56,75,7,27,4,0,7,0,6,2,1,0,0,0,0,0,0,1,2,32,0,75,2,,1,29,1,0,0,0,3
