Provincias;Sexo;Periodo;Total
01 Araba/Álava;Total;2024;338.594
02 Albacete;Total;2024;389.070
03 Alicante/Alacant;Total;2024;1.993.289
04 Almería;Total;2024;760.964
05 Ávila;Total;2024;160.463
06 Badajoz;Total;2024;666.029
07 Balears, Illes;Total;2024;1.231.768
08 Barcelona;Total;2024;5.877.672
09 Burgos;Total;2024;359.740
10 Cáceres;Total;2024;388.652
11 Cádiz;Total;2024;1.258.730
12 Castellón/Castelló;Total;2024;615.188
13 Ciudad Real;Total;2024;492.948
14 Córdoba;Total;2024;774.313
15 Coruña, A;Total;2024;1.128.449
16 Cuenca;Total;2024;199.025
17 Girona;Total;2024;821.108
18 Granada;Total;2024;939.741
19 Guadalajara;Total;2024;280.225
20 Gipuzkoa;Total;2024;729.722
21 Huelva;Total;2024;535.734
22 Huesca;Total;2024;228.519
23 Jaén;Total;2024;619.055
24 León;Total;2024;447.802
25 Lleida;Total;2024;451.707
26 Rioja, La;Total;2024;324.184
27 Lugo;Total;2024;325.048
28 Madrid;Total;2024;7.009.268
29 Málaga;Total;2024;1.774.701
30 Murcia;Total;2024;1.568.492
31 Navarra;Total;2024;678.333
32 Ourense;Total;2024;304.467
33 Asturias;Total;2024;1.009.599
34 Palencia;Total;2024;158.063
35 Palmas, Las;Total;2024;1.159.890
36 Pontevedra;Total;2024;947.869
37 Salamanca;Total;2024;327.552
38 Santa Cruz de Tenerife;Total;2024;1.078.864
39 Cantabria;Total;2024;590.851
40 Segovia;Total;2024;156.620
41 Sevilla;Total;2024;1.968.624
42 Soria;Total;2024;90.073
43 Tarragona;Total;2024;861.744
44 Teruel;Total;2024;135.309
45 Toledo;Total;2024;743.165
46 Valencia/València;Total;2024;2.710.808
47 Valladolid;Total;2024;525.116
48 Bizkaia;Total;2024;1.159.368
49 Zamora;Total;2024;166.253
50 Zaragoza;Total;2024;987.763
51 Ceuta;Total;2024;83.179
52 Melilla;Total;2024;85.985
Total;Total;2024;48.619.695
