Provincias;Sexo;Periodo;Total
22 Huesca;Total;2016;221.079
22 Huesca;Total;2014;224.688
23 Jaén;Total;2021;627.190
23 Jaén;Total;2020;631.381
23 Jaén;Total;2019;633.564
23 Jaén;Total;2018;638.099
23 Jaén;Total;2017;643.484
23 Jaén;Total;2016;648.250
23 Jaén;Total;2014;661.716
24 León;Total;2021;451.706
24 León;Total;2020;456.439
24 León;Total;2019;460.001
24 León;Total;2018;463.746
24 León;Total;2017;468.316
24 León;Total;2016;473.604
24 León;Total;2014;489.239
25 Lleida;Total;2021;439.727
25 Lleida;Total;2020;438.517
25 Lleida;Total;2019;434.930
25 Lleida;Total;2018;432.866
25 Lleida;Total;2017;432.384
25 Lleida;Total;2016;434.041
25 Lleida;Total;2014;435.847
27 Lugo;Total;2021;326.013
27 Lugo;Total;2020;327.946
27 Lugo;Total;2019;329.587
27 Lugo;Total;2018;331.327
27 Lugo;Total;2017;333.634
27 Lugo;Total;2016;336.527
27 Lugo;Total;2014; 344.845
28 Madrid;Total;2021;6.751.251
28 Madrid;Total;2020;6.779.888
28 Madrid;Total;2019;6.663.394
28 Madrid;Total;2018;6.578.079
28 Madrid;Total;2017;6.507.184
28 Madrid;Total;2016;6.466.996
28 Madrid;Total;2014;6.414.709
29 Málaga;Total;2021;1.695.651
29 Málaga;Total;2020;1.685.920
29 Málaga;Total;2019;1.661.785
29 Málaga;Total;2018;1.641.121
29 Málaga;Total;2017;1.630.615
29 Málaga;Total;2016;1.629.298
29 Málaga;Total;2014;1.611.983
30 Murcia;Total;2021;1.518.486
30 Murcia;Total;2020;1.511.251
30 Murcia;Total;2019;1.493.898
30 Murcia;Total;2018;1.478.509
30 Murcia;Total;2017;1.470.273
30 Murcia;Total;2016;1.464.847
30 Murcia;Total;2014;1.461.987
31 Navarra;Total;2021;661.537
31 Navarra;Total;2020;661.197
31 Navarra;Total;2019;654.214
31 Navarra;Total;2018;647.554
31 Navarra;Total;2017;643.234
31 Navarra;Total;2016;640.647
31 Navarra;Total;2014;638.949
32 Ourense;Total;2021;305.223
32 Ourense;Total;2020;306.650
32 Ourense;Total;2019;307.651
32 Ourense;Total;2018;309.293
32 Ourense;Total;2017;311.680
32 Ourense;Total;2016;314.853
32 Ourense;Total;2014;325.389
34 Palencia;Total;2021;159.123
34 Palencia;Total;2020;160.321
34 Palencia;Total;2019;160.980
34 Palencia;Total;2018;162.035
34 Palencia;Total;2017;163.390
34 Palencia;Total;2016;164.644
34 Palencia;Total;2014;168.749
35 Palmas, Las;Total;2021;1.128.539
35 Palmas, Las;Total;2020;1.131.065
35 Palmas, Las;Total;2019;1.120.406
35 Palmas, Las;Total;2018;1.109.175
35 Palmas, Las;Total;2017;1.100.480
35 Palmas, Las;Total;2016;1.097.800
35 Palmas, Las;Total;2014;1.098.235
36 Pontevedra;Total;2021;944.275
36 Pontevedra;Total;2020;945.408
36 Pontevedra;Total;2019;942.665
36 Pontevedra;Total;2018;941.772
36 Pontevedra;Total;2017;942.731
36 Pontevedra;Total;2016;944.346
36 Pontevedra;Total;2014;953.241
26 Rioja, La;Total;2021;319.796
26 Rioja, La;Total;2020;319.914
26 Rioja, La;Total;2019;316.798
26 Rioja, La;Total;2018;315.675
26 Rioja, La;Total;2017;315.381
26 Rioja, La;Total;2016;315.794
26 Rioja, La;Total;2014;318.639
37 Salamanca;Total;2021;327.338
37 Salamanca;Total;2020;329.245
37 Salamanca;Total;2019;330.119
37 Salamanca;Total;2018;331.473
37 Salamanca;Total;2017;333.603
37 Salamanca;Total;2016;335.985
37 Salamanca;Total;2014; 347.249
38 Santa Cruz de Tenerife;Total;2021;1.044.405
38 Santa Cruz de Tenerife;Total;2020;1.044.887
38 Santa Cruz de Tenerife;Total;2019;1.032.983
38 Santa Cruz de Tenerife;Total;2018;1.018.510
38 Santa Cruz de Tenerife;Total;2017;1.007.641
38 Santa Cruz de Tenerife;Total;2016;1.004.124
38 Santa Cruz de Tenerife;Total;2014;1.006.997
40 Segovia;Total;2021;153.663
40 Segovia;Total;2020;153.478
40 Segovia;Total;2019;153.129
40 Segovia;Total;2018;153.342
40 Segovia;Total;2017;154.184
40 Segovia;Total;2016;155.652
40 Segovia;Total;2014; 161.374
41 Sevilla;Total;2021;1.947.852
41 Sevilla;Total;2020;1.950.219
41 Sevilla;Total;2019;1.942.389
41 Sevilla;Total;2018;1.939.887
41 Sevilla;Total;2017;1.939.527
41 Sevilla;Total;2016;1.939.775
41 Sevilla;Total;2014;1.936.703
42 Soria;Total;2021;88.747
42 Soria;Total;2020;88.884
42 Soria;Total;2019;88.636
42 Soria;Total;2018;88.600
42 Soria;Total;2017;88.903
42 Soria;Total;2016;90.040
42 Soria;Total;2014;93.575
43 Tarragona;Total;2021;822.309
43 Tarragona;Total;2020;816.772
43 Tarragona;Total;2019;804.664
43 Tarragona;Total;2018;795.902
43 Tarragona;Total;2017;791.693
43 Tarragona;Total;2016;792.299
43 Tarragona;Total;2014;802.806
44 Teruel;Total;2021;134.545
44 Teruel;Total;2020;134.176
44 Teruel;Total;2019;134.137
44 Teruel;Total;2018;134.572
44 Teruel;Total;2017;135.562
44 Teruel;Total;2016;136.977
44 Teruel;Total;2014;141.113
45 Toledo;Total;2021;709.403
45 Toledo;Total;2020;703.772
45 Toledo;Total;2019;694.844
45 Toledo;Total;2018;687.391
