Partidos Politicos Nacionales;Votos;Esca�os;Grupo
PP;26,09%;16;PPE
PSOE;23,01%;14;S&D
IU;10,03%;5;GUE/NGL
IU;10,17%;1;Verdes
Podemos;7,98%;5;GUE/NGL
UPyD;6,51%;4;ADLE
Vox;5,64%;1;GUE/NGL
CEUS;5,42%;1;PPE
CEUS;5,42%;2;ADLE
Esquerra;4,01%;2;Verdes
C's;3,16%;2;ADLE
PueblosDeciden;2,08%;1;GUE/NGL
Primavera Europea;1,92%;1;Verdes
Otros;9,79%;0;
