TH,Cod.Municipio,AMBITO,Distrito,Sección,Mesa,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,PH,FE-JONS,EK-PCPE,P.A.,E.U.,PREPAL,DN,PACMA/ATTKA,MSR,UPYD,C´S,I.FEM,SAIN,IU-LV,EB-AZ,EH BILDU,EAJ-PNV ... (E14),FAC,EPDD,IMPULSOSOCIAL,RECORTES CERO,EQUO-PUM+J,VOX,P-LIB,PARTIDO X,D. E. R.,IPEX-PREX-CREX,M.C.R.,RRUE,PODEMOS,ALTER,PT,LEM,PIRATAS,ACNV-BAR-PRAO-...,MOVIMIENTO RED,CILUS
ARABA-ÁLAVA,10,AYALA/AIARA,1,2,U,869,356,4,352,6,346,513,32,24,0,0,1,1,0,0,1,5,0,16,0,0,0,21,10,97,103,0,3,0,0,5,0,0,0,0,0,0,0,24,0,0,0,1,0,2,0
ARABA-ÁLAVA,11,BAÑOS DE EBRO/MAÑUETA,1,1,U,243,125,3,122,4,118,118,14,50,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,3,32,0,0,0,0,0,4,0,0,0,0,0,0,4,1,3,0,0,0,0,1
ARABA-ÁLAVA,13,BARRUNDIA,1,1,U,723,326,5,321,2,319,397,12,29,0,0,1,0,0,0,0,4,0,7,1,1,0,14,3,128,79,0,0,1,0,16,0,0,3,1,0,0,0,16,0,1,0,1,0,0,1
ARABA-ÁLAVA,14,BERANTEVILLA,1,1,U,380,197,3,194,7,187,183,19,53,0,1,0,0,0,0,0,3,0,8,4,0,0,11,1,22,45,0,0,1,0,2,1,0,1,2,0,0,0,11,0,0,0,1,0,1,0
ARABA-ÁLAVA,16,BERNEDO,1,1,U,441,124,4,120,3,117,317,10,17,0,1,0,0,0,0,1,0,0,4,1,0,1,11,0,26,35,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0
ARABA-ÁLAVA,17,CAMPEZO/KANPEZU,1,1,U,866,339,5,334,7,327,527,26,52,0,0,0,0,0,0,0,0,0,6,0,1,0,9,1,103,95,0,0,0,0,7,5,0,0,1,0,0,0,15,0,1,0,0,2,3,0
ARABA-ÁLAVA,18,ZIGOITIA,1,1,A,670,282,5,277,6,271,388,29,14,0,0,0,0,0,0,1,4,0,4,4,0,0,11,5,104,68,0,0,0,0,6,1,0,2,0,0,0,0,17,0,0,0,1,0,0,0
ARABA-ÁLAVA,18,ZIGOITIA,1,1,B,717,297,3,294,3,291,420,28,21,0,0,0,0,0,0,0,5,0,2,3,0,0,21,3,101,77,0,0,0,1,10,0,0,1,0,0,0,0,13,1,2,0,0,0,2,0
ARABA-ÁLAVA,19,KRIPAN,1,1,U,149,85,0,85,0,85,64,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,50,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0
ARABA-ÁLAVA,20,KUARTANGO,1,1,U,318,160,2,158,2,156,158,1,16,0,0,1,0,0,0,0,1,0,1,0,0,0,4,0,56,69,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1
