ELECCIÓN,TH,CODCOM,CODMUN,CIRCUNSCRIPCIÓN,PARTIDO,NOMBRE
"E87,,0,0,ESTADO,AP,""ALVAREZ DE EULATE PEÑARANDA,JOSE MARIA"""
"E87,,0,0,ESTADO,AP,""ARGUELLES SALAVERRIA,PEDRO"""
"E87,,0,0,ESTADO,AP,""ARIAS CAÑETE,MIGUEL"""
"E87,,0,0,ESTADO,AP,""CABANILLAS GALLAS,PIO"""
"E87,,0,0,ESTADO,AP,""DIAZ DEL RIO JAUDENES,RAMON"""
"E87,,0,0,ESTADO,AP,""ESCUDER CROFT,ARTURO JUAN"""
"E87,,0,0,ESTADO,AP,""FRAGA IRIBARNE,MANUEL"""
"E87,,0,0,ESTADO,AP,""GARCIA AMIGO,MANUEL"""
"E87,,0,0,ESTADO,AP,""GARRIGA POLLEDO,SALVADOR"""
"E87,,0,0,ESTADO,AP,""LAFUENTE LOPEZ,JOSE MARIA"""
"E87,,0,0,ESTADO,AP,""LLORCA VILAPLANA,CARMEN"""
"E87,,0,0,ESTADO,AP,""NAVARRO VELASCO,ANTONIO"""
"E87,,0,0,ESTADO,AP,""PERINAT ALIO,LUIS GUILLERMO"""
"E87,,0,0,ESTADO,AP,""ROBLES PIQUER,CARLOS"""
"E87,,0,0,ESTADO,AP,""ROMERA ALCAZAR,DOMENEC"""
"E87,,0,0,ESTADO,AP,""SUAREZ GONZALEZ,FERNANDO"""
"E87,,0,0,ESTADO,AP,""VALVERDE LOPEZ,JOSE LUIS"""
"E87,,0,0,ESTADO,CDS,""CALVO ORTEGA,RAFAEL"""
"E87,,0,0,ESTADO,CDS,""CERVERA CARDONA,JOSE EMILIO"""
"E87,,0,0,ESTADO,CDS,""CODERCH PLANAS,JOSE"""
"E87,,0,0,ESTADO,CDS,""DIEZ DE RIVERA ICAZA,CARMEN"""
"E87,,0,0,ESTADO,CDS,""MAYOR ZARAGOZA,FEDERICO"""
"E87,,0,0,ESTADO,CDS,""MORODO LEONCIO,RAUL"""
"E87,,0,0,ESTADO,CDS,""PUNSET CASALS,EDUARDO"""
"E87,,0,0,ESTADO,CIU,""FERRER CASALS,CONCEPCIO"""
"E87,,0,0,ESTADO,CIU,""GASOLIBA BÉHM,CARLES ALFRED"""
"E87,,0,0,ESTADO,CIU,""MUNS ALBUIXECH,JOAQUIN"""
"E87,,0,0,ESTADO,EA...(E87),""GARAIKOETXEA URRIZA,CARLOS"""
"E87,,0,0,ESTADO,EB,""GUTIERREZ DIAZ,ANTONI"""
"E87,,0,0,ESTADO,EB,""PEREZ ROYO,FERNANDO"""
"E87,,0,0,ESTADO,EB,""PUERTA GUTIERREZ,ALONSO JOSE"""
"E87,,0,0,ESTADO,HB,""MONTERO ZABALA,JOSE MARIA"""
"E87,,0,0,ESTADO,PSE-PSOE,""ALVAREZ DE PAZ,JOSE"""
"E87,,0,0,ESTADO,PSE-PSOE,""ARBELOA MURU,VICTOR MANUEL"""
"E87,,0,0,ESTADO,PSE-PSOE,""BARON CRESPO,ENRIQUE CARLOS"""
"E87,,0,0,ESTADO,PSE-PSOE,""BRU PURON,CARLOS MARIA"""
"E87,,0,0,ESTADO,PSE-PSOE,""BUENO VICENTE,JOSE MIGUEL"""
"E87,,0,0,ESTADO,PSE-PSOE,""CAAMAÑO BERNAL,ESTEBAN"""
"E87,,0,0,ESTADO,PSE-PSOE,""CABEZON ALONSO,JESUS"""
"E87,,0,0,ESTADO,PSE-PSOE,""CABRERA BAZAN,JOSE"""
"E87,,0,0,ESTADO,PSE-PSOE,""CANO PINTO,EUSEBIO"""
"E87,,0,0,ESTADO,PSE-PSOE,""COLINO SALAMANCA,JUAN LUIS"""
"E87,,0,0,ESTADO,PSE-PSOE,""COLOM NAVAL,JOAN"""
"E87,,0,0,ESTADO,PSE-PSOE,""DUHRKOP DUHRKOP,BARBARA"""
"E87,,0,0,ESTADO,PSE-PSOE,""GARCIA ARIAS,LUDIVINA"""
"E87,,0,0,ESTADO,PSE-PSOE,""GARCIA RAYA,JOSE LUIS"""
"E87,,0,0,ESTADO,PSE-PSOE,""GRIMALDOS GRIMALDOS,JULIAN"""
"E87,,0,0,ESTADO,PSE-PSOE,""MEDINA ORTEGA,MANUEL"""
"E87,,0,0,ESTADO,PSE-PSOE,""MIRANDA DE LAGE,ANA CLARA MARIA"""
"E87,,0,0,ESTADO,PSE-PSOE,""MORAN LOPEZ,FERNANDO"""
"E87,,0,0,ESTADO,PSE-PSOE,""OLIVA GARCIA,FRANCISCO"""
"E87,,0,0,ESTADO,PSE-PSOE,""PLANAS PUCHADES,LUIS"""
"E87,,0,0,ESTADO,PSE-PSOE,""PONS GRAU,JOSEP ENRIQUE"""
"E87,,0,0,ESTADO,PSE-PSOE,""RAMIREZ HEREDIA,JUAN DE DIOS"""
"E87,,0,0,ESTADO,PSE-PSOE,""RUBERT DE VENTOS,XAVIER"""
"E87,,0,0,ESTADO,PSE-PSOE,""SANZ FERNANDEZ,FRANCISCO JAVIER"""
"E87,,0,0,ESTADO,PSE-PSOE,""SAPENA GRANELL,ENRIQUE"""
"E87,,0,0,ESTADO,PSE-PSOE,""SIERRA BARDAJI,MATEO"""
"E87,,0,0,ESTADO,PSE-PSOE,""VAZQUEZ FOUZ,JOSE"""
"E87,,0,0,ESTADO,PSE-PSOE,""VERDE ALDEA,JOSEP"""
