ELECCIÓN,TH,CODCOM,CODMUN,CIRCUNSCRIPCIÓN,PARTIDO,NOMBRE
"E04,,0,0,ESTADO,EA...(E04),""JOAN MARI,BERNAT"""
"E04,,0,0,ESTADO,EB,""MEYER PLEITE,WILLY"""
"E04,,0,0,ESTADO,EB,""ROMEVA RUEDA,RAUL"""
"E04,,0,0,ESTADO,PNV...(E04),""GUARDANS CAMBO,IGNASI"""
"E04,,0,0,ESTADO,PNV...(E04),""ORTUONDO LARREA,JOSU"""
"E04,,0,0,ESTADO,PP,""AYUSO GONZALEZ,MARIA DEL PILAR"""
"E04,,0,0,ESTADO,PP,""DE GRANDES PASCUAL,LUIS"""
"E04,,0,0,ESTADO,PP,""DEL CASTILLO VERA,PILAR"""
"E04,,0,0,ESTADO,PP,""DIAZ DE MERA GARCIA CONSUEGRA,AGUSTIN"""
"E04,,0,0,ESTADO,PP,""FERNANDEZ MARTIN,FERNANDO MANUEL"""
"E04,,0,0,ESTADO,PP,""FRAGA ESTEVEZ,MARIA DEL CARMEN"""
"E04,,0,0,ESTADO,PP,""GALEOTE QUECEDO,JOSE GERARDO"""
"E04,,0,0,ESTADO,PP,""GARCIA-MARGALLO MARFIL,JOSE MANUEL"""
"E04,,0,0,ESTADO,PP,""GARRIGA POLLEDO,SALVADOR"""
"E04,,0,0,ESTADO,PP,""GUTIERREZ-CORTINES CORRAL,CRISTINA"""
"E04,,0,0,ESTADO,PP,""HERRANZ GARCIA,MARIA ESTHER"""
"E04,,0,0,ESTADO,PP,""HERRERO-TEJEDOR ALGAR,LUIS FRANCISCO"""
"E04,,0,0,ESTADO,PP,""ITURGAIZ ANGULO,CARLOS JOSE"""
"E04,,0,0,ESTADO,PP,""LOPEZ-ISTURIZ WHITE,ANTONIO JAVIER"""
"E04,,0,0,ESTADO,PP,""MATO ADROVER,ANA"""
"E04,,0,0,ESTADO,PP,""MAYOR OREJA,JAIME MARIA"""
"E04,,0,0,ESTADO,PP,""MENDEZ DE VIGO MONTOJO,IÑIGO"""
"E04,,0,0,ESTADO,PP,""MILLAN MON,FRANCISCO JOSE"""
"E04,,0,0,ESTADO,PP,""MONTORO ROMERO,CRISTOBAL"""
"E04,,0,0,ESTADO,PP,""POMES RUIZ,JOSE JAVIER"""
"E04,,0,0,ESTADO,PP,""RUDI UBEDA,LUISA FERNANDA"""
"E04,,0,0,ESTADO,PP,""SALAFRANCA SANCHEZ-NEYRA,JOSE IGNACIO"""
"E04,,0,0,ESTADO,PP,""VARELA SUANZES-CARPEGNA,DANIEL LUIS"""
"E04,,0,0,ESTADO,PP,""VIDAL-QUADRAS ROCA,ALEJO"""
"E04,,0,0,ESTADO,PSE-PSOE,""AYALA SENDER,INES"""
"E04,,0,0,ESTADO,PSE-PSOE,""BADIA CUTXET,MARIA"""
"E04,,0,0,ESTADO,PSE-PSOE,""BARON CRESPO,ENRIQUE CARLOS"""
"E04,,0,0,ESTADO,PSE-PSOE,""BORRELL FONTELLES,JOSE"""
"E04,,0,0,ESTADO,PSE-PSOE,""CALABUIG RULL,JOAN"""
"E04,,0,0,ESTADO,PSE-PSOE,""CARNERO GONZALEZ,CARLOS"""
"E04,,0,0,ESTADO,PSE-PSOE,""CERCAS ALONSO,ALEJANDRO"""
"E04,,0,0,ESTADO,PSE-PSOE,""DIEZ GONZALEZ,ROSA MARIA"""
"E04,,0,0,ESTADO,PSE-PSOE,""DUHRKOP DUHRKOP,BARBARA"""
"E04,,0,0,ESTADO,PSE-PSOE,""GARCIA PEREZ,IRATXE"""
"E04,,0,0,ESTADO,PSE-PSOE,""HAMMERSTEIN MINTZ,DAVID"""
"E04,,0,0,ESTADO,PSE-PSOE,""MARTINEZ MARTINEZ,MIGUEL ANGEL"""
"E04,,0,0,ESTADO,PSE-PSOE,""MASIP HIDALGO,ANTONIO"""
"E04,,0,0,ESTADO,PSE-PSOE,""MEDINA ORTEGA,MANUEL"""
"E04,,0,0,ESTADO,PSE-PSOE,""MENENDEZ DEL VALLE,EMILIO"""
"E04,,0,0,ESTADO,PSE-PSOE,""MIGUELEZ RAMOS,ROSA"""
"E04,,0,0,ESTADO,PSE-PSOE,""MORENO SANCHEZ,JAVIER"""
"E04,,0,0,ESTADO,PSE-PSOE,""OBIOLS GERMA,JOSE MARIA RAIMOND"""
"E04,,0,0,ESTADO,PSE-PSOE,""PLEGUEZUELOS AGUILAR,FRANCISCA"""
"E04,,0,0,ESTADO,PSE-PSOE,""RIERA MADURELL,TERESA"""
"E04,,0,0,ESTADO,PSE-PSOE,""SALINAS GARCIA,MARIA ISABEL"""
"E04,,0,0,ESTADO,PSE-PSOE,""SANCHEZ PRESEDO,ANTOLIN"""
"E04,,0,0,ESTADO,PSE-PSOE,""SORNOSA MARTINEZ,MARIA"""
"E04,,0,0,ESTADO,PSE-PSOE,""VALENCIANO MARTINEZ-OROZCO,MARIA ELENA"""
"E04,,0,0,ESTADO,PSE-PSOE,""YAÑEZ-BARNUEVO GARCIA,LUIS"""
