TH,Cod.Comarca,Cod.Municipio,AMBITO,Censo,Votantes,Nulos,Válidos,Blancos,Votos Cand.,Abstenciones,PSE-PSOE,PP,EB,CDS,EKA,PH,FE-JONS,POSI,PREPAL,PADE,TC-PNC,DN,FE,ARALAR,PNV...(E04),N.I.V.,CUP,UCL,EA...(E04),NOS-UP,EC,PUM+J,PFYV,PASOC,PCPE-LI.(LIT-CI),CL,P.CANNABIS,CE...(E04),FA,PARADOS,B-GV
BIZKAIA,004,060,MARKINA-XEMEIN,3922,1835,445,1390,5,1385,2087,47,77,29,0,0,0,0,0,0,0,0,0,0,15,1076,0,0,0,127,1,0,0,0,0,1,0,2,7,0,0,3
BIZKAIA,004,061,MARURI-JATABE,645,349,23,326,2,324,296,18,21,11,0,0,0,0,0,0,0,0,0,0,5,235,0,0,0,32,0,0,0,0,0,0,1,1,0,0,0,0
BIZKAIA,004,062,MENDATA,298,211,26,185,1,184,87,3,6,0,0,0,0,0,0,0,0,0,0,0,2,131,0,0,0,40,0,0,0,0,0,2,0,0,0,0,0,0
BIZKAIA,004,063,MENDEXA,307,187,83,104,1,103,120,0,1,5,0,0,0,0,0,0,0,0,0,0,4,85,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0
BIZKAIA,004,064,MEÑAKA,482,337,61,276,1,275,145,3,6,4,0,0,0,0,0,0,0,0,0,0,6,171,0,0,0,82,0,0,0,0,0,1,0,1,0,0,0,1
BIZKAIA,004,066,MORGA,361,237,30,207,0,207,124,2,5,1,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0
BIZKAIA,004,067,MUXIKA,1161,691,181,510,1,509,470,4,13,6,0,0,0,0,0,0,0,0,0,0,6,412,0,0,0,66,0,0,0,0,0,1,0,0,0,0,0,1
BIZKAIA,004,068,MUNDAKA,1595,1010,178,832,2,830,585,26,19,15,0,0,0,0,1,0,0,0,0,0,9,642,1,0,0,111,0,0,0,0,0,1,0,1,0,0,0,4
BIZKAIA,004,069,MUNGIA,11443,5500,446,5054,21,5033,5943,523,595,115,0,0,2,0,2,2,0,2,1,0,51,3311,2,0,0,383,1,0,2,0,4,3,0,16,1,0,4,13
BIZKAIA,004,070,AULESTI,562,330,157,173,6,167,232,0,3,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0
BIZKAIA,004,073,ONDARROA,7828,3974,1595,2379,14,2365,3854,132,241,66,0,5,1,0,0,0,0,1,0,0,82,1555,0,0,0,278,0,0,1,0,0,0,0,3,0,0,0,0
BIZKAIA,004,076,SUKARRIETA,324,210,43,167,1,166,114,9,13,3,0,0,0,0,0,0,0,0,0,0,4,112,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
BIZKAIA,004,077,PLENTZIA,3201,1735,194,1541,10,1531,1466,156,199,48,0,0,0,0,0,0,0,0,0,0,18,951,1,0,0,147,1,0,1,2,0,0,0,3,1,0,1,2
BIZKAIA,004,079,ERRIGOITI,446,288,55,233,0,233,158,0,6,0,0,0,0,0,0,0,0,0,0,0,1,208,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1
BIZKAIA,004,081,LEZAMA,1831,1031,147,884,7,877,800,70,54,24,0,0,0,0,1,0,0,0,0,0,5,670,1,0,0,49,0,0,0,1,0,2,0,0,0,0,0,0
BIZKAIA,004,085,SOPELANA,9009,4022,645,3377,19,3358,4987,685,348,216,1,0,2,0,0,0,1,1,0,1,28,1819,2,0,0,213,0,0,2,0,2,1,1,9,1,0,0,25
BIZKAIA,004,089,URDULIZ,2647,1386,234,1152,8,1144,1261,193,93,41,1,0,0,0,2,0,0,0,0,0,6,686,2,0,0,112,0,0,0,0,0,0,0,2,0,0,3,3
BIZKAIA,004,901,DERIO,4192,2044,150,1894,9,1885,2148,601,218,68,1,1,1,0,1,1,2,3,0,0,8,837,0,1,0,125,0,0,2,0,1,1,0,5,0,0,2,6
BIZKAIA,004,902,ERANDIO,19672,8204,730,7474,33,7441,11468,2391,1031,313,3,0,3,1,11,1,1,4,1,1,34,3300,3,1,0,263,2,1,6,2,4,1,0,33,4,1,7,18
BIZKAIA,004,903,LOIU,1666,1012,65,947,6,941,654,56,156,20,1,0,1,0,0,1,0,0,0,0,3,644,0,0,0,55,0,0,0,0,0,0,0,2,0,1,0,1
BIZKAIA,004,904,SONDIKA,3538,2024,179,1845,7,1838,1514,281,202,41,0,1,0,0,0,0,0,0,0,0,7,1210,0,0,0,81,1,0,3,1,0,1,1,6,0,0,1,1
BIZKAIA,004,905,ZAMUDIO,2697,1424,233,1191,4,1187,1273,202,120,26,0,0,0,0,1,0,0,0,0,0,7,775,0,0,0,55,0,0,0,0,0,0,0,0,0,0,1,0
BIZKAIA,004,906,FORUA,835,476,129,347,2,345,359,31,20,4,0,0,0,0,0,0,0,0,0,0,5,260,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,1
BIZKAIA,004,907,KORTEZUBI,325,229,47,182,0,182,96,5,7,2,0,0,0,0,0,0,0,0,0,0,1,159,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
BIZKAIA,004,908,MURUETA,223,136,15,121,0,121,87,4,4,2,0,0,0,0,0,0,0,0,0,0,3,97,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0
BIZKAIA,004,909,NABARNIZ,194,142,62,80,1,79,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,8,0,0,0,0,1,1,0,2,0,0,0,0
BIZKAIA,004,911,AJANGIZ,358,253,104,149,2,147,105,1,0,4,0,0,0,0,0,0,0,0,0,0,2,115,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
BIZKAIA,004,914,ARRATZU,311,220,85,135,0,135,91,1,1,3,0,0,0,0,0,0,0,0,0,0,2,111,0,0,0,15,0,0,0,0,0,1,0,1,0,0,0,0
BIZKAIA,099,999,MUNICIPIO CERA BIZKAIA,20416,3870,42,3828,10,3818,16546,1207,784,122,6,1,7,0,3,1,2,3,4,3,32,1382,14,0,1,94,0,1,9,18,3,1,0,15,61,0,3,41
